ID,Rubrik,Beskrivning,GE KravID
542,S158 - Manuell synkroniserings konsekvenser,"Manuell synkronisering av tid på enskild Mätenhet ska (S158) inte ge konsekvenser beträffande t.ex. lagring, presentation, händelse- och larmhantering i HES.",S158
543,S159 - Sökfunktion med filtrering,"Det ska (S159) finnas en sökfunktion för utsökning av data i HES där det går att skapa sökningar med hjälp av filtrering på en eller flera inparametrar.
T.ex. Anläggnings-ID, EAN-nummer, Mätpunkter, adresser och mätartyp.",S159
544,S160 - Sökbar data,"Följande data ska (S160) kunna sökas ut ur HES databas:
- Strukturdata
- Mätvärden, varvid sökning ska kunna ske på valfri tidsperiod – definierar begränsning av tiden för sökt mätserie
- Händelse
- Larm",S160
545,S161 - Söka på en delmängd,Vid sökning ska (S161) det vara möjligt att söka på en delmängd (med hjälp av ”wildcard”) av den informationen som eftersöks.,S161
546,"S162 - Kopiera, klippa och klistra","Det ska (S162) vara möjligt för Användaren att kopiera, klippa ut och klistra in data i HES samtliga formulär och fält för inmatning.",S162
547,S163 - Kräv ytterligare bekräftelse,"Kommandon, som Användaren initierar i HES och som kan få allvarliga konsekvenser vid felaktig hantering (radering av lagrad mäta- och strukturdata och från- och tillkoppling av ström) ska (S163) kräva ytterligare bekräftelse innan de utförs",S163
548,S164 - Konfigurera mätenhet från HES,Samtliga parametrar som går att konfigurera av Beställaren i Mätenheten ska (S164) också kunna konfigureras fjärrstyrt från HES.,S164
549,S165 - Registrera förändringar med unikt ID,"HES ska (S165) registrera förändringar i Mätsystemet med ett unikt ID för spårbarhet, t.ex. konfigurering i Mätenhet, uppgradering av mjukvara, till- och frånkoppling av kundanläggning via Mätenhetens brytare, ändringar av strukturdata och vilken Användare som har aktiverat eller avaktiverat ett Larm.",S165
550,S166 -  Behörighetprofiler för användarrättigheter,"HES ska (S166) ha behörighetprofiler för åtminstone följande användarrättigheter:
- Komma åt operativsystem, starta och stoppa systemet, uppdatera databas, ändra behörighetsprofiler m.m.
- Inmatning/uppdatering av strukturdata, insamling av Mätvärden m.m.
- Till- och frånkoppling av kundanläggning via Mätenhetens brytare
- Åtkomst till Mätenhetens Mätdata och inställningar
- Endast ”titta”, ej redigera",S166
551,S167 - Behörighetsstruktur baserat på rollspecifikation,Leverantören ska (S167) under införandet definiera och implementera en behörighetsstruktur i HES med olika roller baserat på den rollspecifikation som tagits fram av Beställaren i samråd med Leverantören under införandet.,S167
552,S168 - Administrera behörighetsnivåer,"Beställarens ska (S168) kunna administrera, skapa, redigera och ta bort behörighetsnivåer och roller i HES gränssnitt.",S168
553,S169 - Till och frånkoppling av brytare från HES,Till- och frånkoppling av kundanläggning via Mätenhetens brytare ska (S169) kunna göras från HES.,S169
554,S170 - Status för brytare,I HES ska (S170) det vara möjligt för Användaren att se om Mätenhetens brytare är till- eller frånkopplad.,S170
555,S171 - Till och frånkoppling av brytare från annat GE system,HES ska (S171) kunna ta emot anrop från annat verksamhetssystem inom GE för till- och frånkoppling av kundanläggning via Mätenhetens brytare.,S171
556,S172 - Status för brytare till annat GE system,HES ska (S172) kunna skicka information till annat verksamhetssystem om en Mätenhets brytare är till- eller frånkopplad.,S172
557,S173 - Till och frånkoppling av kundgränssnittet från HES,Aktivering och deaktivering av Kundgränssnittet ska (S173) kunna göras från HES.,S173
558,S174 - Status för kundgränssnittet,I HES ska (S174) det vara möjligt att se om Kundgränssnittet i en Mätenhet är aktiverat eller deaktiverat för datautskick.,S174
559,S175 - Hantera rundgång,HES ska (S175) hantera rundgång (Mätarställning går från max till 0) i Mätenheten så att förbrukningen blir korrekt.,S175
560,S176 - Korrigera mätvärden,"En Användare i HES ska (S176) ha möjlighet att korrigera Mätvärden, t.ex. ersätta ett felaktigt värde med ett manuellt registrerat data.",S176
561,S177 - Interpolering i HES,Det ska (S177) finnas funktionalitet i HES för att kunna utföra Interpoleringar där insamlat värde saknas.,S177
562,S178 - HES på svenska,Svenska och svensk teckenuppsättning ska (S178) gälla för HES.,S178
563,S179 - Testmiljö,HES ska (S179) finnas tillgänglig i en testmiljö som ska spegla produktionsmiljön vad gäller konfigureringar och anpassningar.,S179
564,S180 - Testmiljö 15 samtidiga användare,Testmiljön kommer att användas för att utföra tester vid förändringar i HES och vid utbildning och ska (S180) vara dimensionerad för minst 15 samtidiga Användare.,S180
565,S181 - Skillnad på test och prod,Det ska (S181) vara tydligt för en Användare att se skillnad på HES test- och produktionsmiljö så att Användaren enkelt ser att hen är i rätt miljö.,S181
566,S182 - Förväntad livslängd,Kommunikationsutrustning ska (S182) ha en förväntad livslängd som är >= 15 år räknat från tidpunkten då den levererats till GE.,S182
567,S183 - Inget batteribyte,Kommunikationsutrustningen ska (S183) vara utformad så att om det ingår batteri ska de inte behöva bytas under Kommunikationsutrustningens livslängd.,S183
568,"S184 - Felutfall under 0,75 % per år","Under Kommunikationsutrustningens förväntade livslängd ska (S184) felutfallet inte överstiga 0,75 % per år av installerad volym.",S184
569,S185 - Förändring utan fysiskt besök,Om kommunikationslösningen använder sig av licensierad teletrafik ska (S185) operatörsbyten (portering) samt abonnemangsförändringar och avslut kunna utföras utan fysiskt besök på plats på ett sätt som stöds av de flesta teleoperatörer på marknaden.,S185
570,S186 - Återställningstid efter kommunikationsavbrott max 60 min,Återställningstid för infrastrukturkommunikationen efter kommunikationsavbrott ska (S186) högst vara 60 minuter.,S186
571,S187 - Återställningstid efter strömavbrott max 60 min,"Återställningstiden för infrastrukturkommunikationen, efter ett strömavbrott, ska (S187) högst vara 60 minuter efter den tidpunkt då elnätet åter är i drift.",S187
572,S188 - Korrekt kommunikation,All kommunikation i Mätsystemet ska (S188) säkerställa korrekt kommunikation t.ex. med hjälp av checksummor.,S188
573,S189 - All mätdata för alla mätare inom 60 min,Kommunikationslösningen ska (S189) klara av att hämta in 95 % av all Mätdata från 300 000 mätare och för de senaste 24 timmarna inom 60 minuter,S189
574,S190 - Driftas av beställaren,Om Lösningen innehåller en kommunikationslösning som ska (S190) driftas av Beställaren (hänger ihop med krav S191),S190
575,S191 - Managementverktyg för egen drift,Eventuell kommunikationslösning  ska (S191)  innehålla ett managementsverktyg för konfiguration av kommunikationslösningen.,S191
576,S192 - Licensierade telenät,Om kommunikationslösningen innefattar licensierade telenät ska (S192) den följa Förordningar och Föreskrifter i enlighet med PTSFS 2015:2 utgiven av PTS (Post- och Telestyrelsen).,S192
577,S193 - DLMS/ COSEM Suite 1,Mätsystemet ska (S193) minst följa kommunikation enligt specifikation DLMS/ COSEM Suite 1.,S193
578,S194 - Automatiskt hittar ny kommunikationsväg,Systemlösningen ska (S194) innehålla funktionalitet som automatiskt hittar ny kommunikationsväg till HES även om omkopplingar eller förändringar sker i kommunikationsnätet.,S194
579,S195 - Redogör för systemlösning,"Leverantören ska (S195) i Appendix A 3.1 Leverantörens tekniska lösningsbeskrivning redogöra för sin föreslagna systemlösning utifrån Beställarens tekniska krav för HES. Redogörelsen ska vara Leverantörens förslag för hur systemlösningen installeras i Beställarens IT-miljö och ska minst innehålla:

- servrar, applikationer och integrationer mm som föreslås i Leverantörens offererade systemlösning 
- prestandakrav både på Beställarens klient- och servermiljö
- HES möjliga Integrationsgränssnitt 
- övergripande nätverksdesign",S195
580,S196 - Virtuella och fysiska servrar,HES ska (S196) kunna köras på virtuella servrar likväl som fysiska.,S196
581,S197 - Redundans,HES ska (S197) vara anpassat för att kunna använda tekniska miljöer för redundans,S197
582,S198 - Servrar,HES ska (S198) kunna köras på servrar som stödjs av Beställaren. Se Appendix B.15.1 Förutsättningar IT-miljö.,S198
583,S199 - Köras som tjänst,HES ska (S199) kunna köras som en eller flera tjänster på applikationsservern.,S199
584,S200 - Startas automatiskt,HES tjänst(er) ska (S200) kunna konfigureras att starta automatiskt vid exempelvis omstart.,S200
585,S201 - Lista licenser och program,Leverantören ska (S201) leverera en lista på samtliga licenser och programvaror som är inkluderat i systemleveransen,S201
586,S202 - Beställarens licenser,samt redovisa vilka licenser som Beställaren ska (S202) införskaffa om så är fallet.,S202
587,S203 - Visa version,Det ska (S203) vara enkelt för en Användaren i HES att se vilken Version som är installerad.,S203
588,S204 - Databashanterare med versionsnummer,Leverantören ska (S204) redogöra för vilken/vilka databashanterare med versionsnummer som rekommenderas för HES.,S204
589,S205 - Säkerhetskopiering under drift,HES data ska (S205) kunna säkerhetskopieras under pågående drift utan väsentlig påverkan för HES Användare.,S205
590,S206 - Inkluderas i säkerhetskopiering,HES konfigurationer och inställningar av applikationen ska (S206) kunna säkerhetskopieras.,S206
591,S207 - Fjärruppkoppling,"För fjärrdiagnostik, support och underhåll ska (S207) systemlösningen erbjuda möjlighet till fjärruppkoppling under förutsättning att ställda säkerhets- och sekretesskrav kan tillgodoses.",S207
592,S208 - HES från beställarens IT-arbetsplats,Användare ska (S208) kunna använda HES från operatörsplats som är Beställarens IT-arbetsplats. Se Appendix B.15.1 Förutsättningar IT-miljö.,S208
593,S209 - Klientinstallation på Windows,"Klientinstallation ska (S209) under avtalsperioden stödja Microsofts supporterade Versioner av Windows, inklusive Versioner som finns att tillgå på extended support. 
Om HES är helt webbaserat och ingen installation av plugin eller annan programvara krävs på klienten så anses detta krav vara uppfyllt.",S209
594,S210 - MSI paketering,"Klientinstallation på Användarens dator ska (S210) kunna paketeras med MSI paketering för enkel hantering. 
Om HES är helt webbaserat och ingen installation av plugin eller annan programvara krävs på klienten så anses detta krav vara uppfyllt.",S210
595,S211 - Stödja marknadsledande webbläsare,"Om HES är webbaserat ska (S211) det stödja de vid varje tillfälle marknadsledande webbläsarna under avtalsperioden.
Om HES inte är webbaserat så anses detta krav vara uppfyllt.",S211
596,S212 - Standardiserade Integrationsgränssnitt,"HES ska (S212), via väldefinierade och standardiserade Integrationsgränssnitt, kunna integreras med Beställarens olika komponenter och system redovisade i Appendix B.15.1 Förutsättningar IT-miljö.",S212
597,S213 - Webserviceanrop,HES ska (S213) kunna genomföra och ta emot webserviceanrop.,S213
598,S214 - Utbyte av data via köhanterare,HES ska (S214) kunna hantera utbyte av data via köhanterare såsom exempelvis JMS eller IBM Websphere MQ.,S214
599,S215 -  Integrationer via filer,HES ska (S215) kunna hantera integrationer via filer.,S215
600,S216 - Händelsedrivna integrationer,HES ska (S216) kunna hantera händelsedrivna integrationer.,S216
601,S217 - Parallella anrop,HES ska (S217) vara utformad för att kunna hantera parallella anrop.,S217
602,S218 - Användarstyrning på integrationer,Användarstyrning eller likvärdigt ska (S218) finnas på samtliga integrationer.,S218
603,S219 - Loggar för integrationer,HES ska (S219) ha läsbara loggar för integrationer till och från systemlösningen för att visa vilken data som skickats och tagits emot samt eventuella felaktigheter som uppträtt vid överföringarna.,S219
604,S220 - Återsända information,"Det ska (S220) vara möjligt att återsända information som sänts via HES Integrationsgränssnitt, exempelvis om mottagarsystemet ligger nere.",S220
605,S221 - Common Information Model (CIM),HES systemet ska (S221) stödja Common Information Model (CIM) och följa standard IEC 61968-9 eller likvärdigt vid informationsutbyte med t.ex. Distribution Management Systems (DMS) och Meter Data Management System (MDMS).,S221
606,S222 - Byggas i en hållbar teknik,HES inklusive använda programvaror ska (S222) byggas i en teknik som i dagsläget anses vara hållbar över tid och bedöms ha lång återstående livslängd.,S222
607,S223 - Behörighet till subjekt,Behörighet ska (S223) alltid tilldelas till ett Subjekt.,S223
608,S224 - Dölja lösenord,Lösenord ska (S224) inte lagras i klartext. Redovisa hur detta säkerställs.,S224
609,S225 - Åtskilda konton,Priviligierade konton ska (S225) vara skilda ifrån användarkonton.,S225
610,S226 - Krypterad inloggning,Inloggning ska (S226) ske krypterat.,S226
611,S227 - Bhörighetsstyrning för verktyg,Det ska (S227) finnas behörighetsstyrning för verktyg som kan ha förmåga att kringgå säkerhetsåtgärder.,S227
612,S228 - Styra tid för utloggning,Beställaren ska (S228) kunna styra efter hur många minuters inaktivitet en Användare automatiskt loggas ut från HES.,S228
613,S229 - Kryptera kommunikation,"All kommunikation som är möjlig att kryptera ska (S229) vara krypterad.
Redovisa hur er lösning för nyckelhantering i Mätsystemet ser ut.",S229
614,S230 - Krypteringsalgoritmer och kryptografiska hash-funktioner,"Krypteringsalgoritmer och kryptografiska hash-funktioner som används inom Lösningen ska (S230) vara säkra enligt Branschpraxis. Redovisa vilka lösningar som bygger på krypteringsteknik, samt vilka standarder dessa bygger på.",S230
615,S231 - Krypteringsnycklar,Mätsystemet ska (S231) kunna hantera och administrera Mätenheternas krypteringsnycklar.,S231
616,S232 - UTC tid med NTP synk,"Mätsystemet och kringliggande infrastruktur ska (S232) använda UTC som källa för tid, inkluderat synkning med NTP.",S232
617,S233 - Tidavvikelse max 7s,Tidsavvikelsen mellan utrustningar i Mätsystemet ska (S233) maximalt vara 7 s.,S233
618,S234 - Säkerhetslogg,Allt som är av betydelse för säkerheten i Mätsystemet ska (S234) registreras i en säkerhetslogg eller motsvarande.,S234
619,S235 - Innehåll i säkerhetslogg,"Registrerade poster ska (S235) minst omfatta:
- all autentisering och försök till autentisering 
- skapande av nya identiteter och roller samt radering av dessa
- förändringar av regler som styr behörighet
- senaste inloggningar för respektive Användare 
- nekande av åtkomst till objekt, förutom då det uppenbart inte har betydelse för säkerheten i systemet
- alla förändringar av behörighet till informationsobjekt
- skapande, förändring eller radering av informationsobjekt
- varje upprättande och avslutande av session
- konfigurationsförändringar i systemet, inklusive logg- och säkerhetsfunktioner",S235
620,S236 - Logga datum och systemtid,Datum och systemtid ska (S236) registreras för varje loggad post.,S236
621,S237 - Logga  unik identitet,Subjektets unika identitet ska (S237) registreras för varje loggad post.,S237
622,S238 - Skydd av mätare,"Mätarna ska (S238) vara skyddade mot intrång, manipulering och exekvering av obehörig eller skadlig kod.",S238
623,S239 - Transaktionssäkerhet,Transaktionssäkerhet ska (S239) garanteras,S239
624,S240 - Transaktionssäkerhetsmetod,och metoden ska (S240) finnas beskriven. Redovisa metoden.,S240
625,S241 - Autentisering mot angränsande system,Autentisering ska (S241) användas då Mätsystemet interagerar med angränsande system.,S241
626,S242 - Skydd av mätenheterna,Mätsystemet ska (S242) vara skyddat mot intrång via Mätenheterna.,S242
627,S243 - Skydd mot intrång via kommunikationslösningen,I den av Leverantören föreslagna Lösningen ska (S243) Mätsystemet vara skyddat mot intrång och extern åtkomst av data via kommunikationslösningen.,S243
628,S244 - Återläsa data,"Det ska (S244) gå att återläsa data, i enlighet med de backuper som tas, till en given tidpunkt för att minimera dataförlust i samband med Incident.",S244
629,S245 - Mätsystemet utvecklas enligt Branschpraxis,"Leverantören ska (S245) säkerställa att Mätsystemet utvecklas i enlighet med gällande Branschpraxis för säker och kvalitativ kod, såsom SDL, OWASP eller likvärdigt.",S245
630,S246 - Dokumentation av interna gränssnitt,Mätsystemet ska (S246) ha väl strukturerade och dokumenterade interna gränssnitt för säker intern kommunikation.,S246
631,S247 - Penetrationstester,"Beställaren ska (S247), med hjälp av oberoende part, kunna genomföra penetrationstester, eller likvärdiga revisioner, på Mätsystemet.",S247
632,S248 - Samsyn kring pen-test,Beställaren och Leverantören ska (S248) vara informerade och överens om när ett penetrationstest eller revision,S248
633,S249 - Samsyn kring revision,ska (S249) genomföras för att undvika att missförstånd uppstår.,S249
634,S250 - Åtgärd utan kostnad,Om sårbarheter upptäcks ska (S250) Leverantören åtgärda dessa utan extra kostnad för Beställaren.,S250
635,S251 - Åtgärd utan dröjsmål,Om sårbarheter i säkerhet avslöjas i Mätsystem ska (S251) Leverantören utan oskäligt Dröjsmål tillhandahålla uppdatering eller andra lösningar för att åtgärda nämnda sårbarheter.,S251
636,S252 - Åtgärdsplan,Om en lösning inte tillhandahålles inom 24 timmar ska (S252) en åtgärdsplan och tidplan meddelas Beställaren.,S252
637,S253 - Rutin för säkerhetsuppdateringar,Leverantören ska (S253) ha en process/rutin för säkerhetsuppdateringar. Redovisa er process/rutin.,S253
638,S254 - Skydd i djupled,Mätsystemet ska (S254) uppfylla principer för skydd i djupled.,S254
639,S255 - inbyggt skydd,Mätsystemet ska (S255) uppfylla principer för inbyggt skydd.,S255
640,S256 - Härdning,Alla ingående delar i Mätsystemet ska (S256) vara härdade av Leverantören.,S256
641,S257 - Ny nyckel/lösnenord,Fabriksinställningar och leverantörsspecifika standardlösenord eller krypteringsnycklar ska (S257) ersättas med nyskapade motsvarigheter som uppfyller Beställarens krav.,S257
642,S258 - Uppdaterad autentiseringsinformation,"Det ska (S258) ske i samband med påbörjande av MSA 1, så att Leverantören inte längre känner till gällande autentiseringsinformation.",S258
643,S259 - Beroenden mot andra system,Lösningsdesign ska (S259) utformas så att beroenden mot andra system inte innebär att systemet tappar skydd.,S259
644,S260 - Alla delar täcks,Mätsystemet ska (S260) ha en säkerhet som bygger på att alla delar av systemets/komponenternas livscykel täcks in.,S260
645,S261 - Fjärråtkomst,"Dellösningar eller funktionalitet för fjärråtkomst som ingår i Mätsystemet ska (S261) skyddas mot obehörig användning, insyn och förändring.",S261
646,S262 - Kontrollutrustning,Kontrollutrustning ska (S262) i förekommande fall då de ingår i Mätsystemet omfattas av säkerhetskrav på samma sätt som annan utrustning.,S262
647,B1 - Korrigerade mätvärden,"Om Mätenheten korrigerar uppmätta värden för spänning och/eller ström vid beräkning av energiförbrukning, ska (B1) dessa värden också vara de som används i Mätsystemet.",B1
648,B2 - Strömavbrott längre än 10 sek,"Mätsystemet ska (B2) registrera alla strömavbrott (i 1-, 2- eller 3-faser) i en Mätenhet som är längre än 10 sekunder.",B2
649,B3 - Svarstid på en manuell avfrågning,Svarstiden på en manuell avfrågning av Energivärden från HES till enskild Mätenhet ska (B3) vara max 5 sekunder.,B3
650,B4 - Energivärdena ska levereras kontinuerligt,Energivärdena (15-minutersvärden) ska (B4) levereras kontinuerligt från Mätenhet till HES.,B4
651,B5 -  PQ-värden ska levereras inom 15 min,PQ-värdena (15-minutersvärden) ska (B5) levereras senast inom 15 minuter från registrering i mätarna till HES för en utvald grupp av mätare (max 20 % av det totala antalet mätare),B5
652,B6 - 100% energivärden inom 96h,100 % av Energivärdena ska (B6) vara insamlade till HES inom 96 timmar efter dygnsskiftet.,B6
653,B7 - Kommunikationsmetadata  ska levereras kontinuerligt,Kommunikationsmetadata (15-minutersvärden) ska (B7) levereras kontinuerligt från Kommunikationsutrustning till HES.,B7
654,B8 - Avbrottshändelse inom 1 minut,Avbrottshändelse ska (B8) finnas tillgängliga i HES systemet inom 1 minut.,B8
655,B9 - Högfrekventa störningar,Mätenheterna ska (B9) uppfylla krav för högfrekventa störningar i strömmen enligt svensk standard SS EN 61000-4-19 ” Mät- och provningsmetoder – Provning av immunitet mot ledningsbundna symmetriska störningar och signaler i frekvensområdet 0 Hz till 150 kHz” och IEC TR 50579 eller likvärdigt.,B9
656,B10 - Registrera sin egen temperatur,Mätenheten ska (B10) registrera sin egen temperatur.,B10
657,B11 - Möjlig varmgång,Mätenheten ska (B11) ha möjlighet att detektera anslutningar som kan orsaka varmgång.,B11
658,B12 - Varmgång,Mätenheten ska (B12) ha möjlighet att detektera varmgång i anslutningar.,B12
659,B13 - Mätmetod,Det ska (B13) vara konfigurerbart vilken mätmetod som används för mätning av in- och utmatning av energi i samtliga faser.,B13
660,B14 - Överförd aktiv och reaktiv energ / 5min,Mätenheten ska (B14) kunna registrera mängden överförd aktiv och reaktiv energi för uttag och inmatning av el per 5 minuter.,B14
661,B15 - Mätning och registrering / fas,"Mätenheten ska (B15) för varje fas kunna mäta och registrera min, max och medelvärde för spänning, ström, aktiv och reaktiv effekt för uttag och inmatning av el per 5 minuter.",B15
662,B16 - Mäta frekvensen i elnätet,Mätenheten ska (B16) kunna mäta frekvensen i elnätet.,B16
663,B17 - Registrera First Breath,"Mätsystemet ska registrera och lagra information när följande Händelser inträffar:
1. ”First Breath” från Mätenhet (B17)",B17
664,B18 - Registrera mjukvara mottagen,"Mätsystemet ska registrera och lagra information när följande Händelser inträffar:
2. Mjukvara mottagen (B18)",B18
665,B19 - Registrera Mjukvaruverifiering – misslyckad,"Mätsystemet ska registrera och lagra information när följande Händelser inträffar:
3. Mjukvaruverifiering – misslyckad (B19)",B19
666,B20 - Registrera Mjukvaruverifiering – lyckad,"Mätsystemet ska registrera och lagra information när följande Händelser inträffar:
4. Mjukvaruverifiering – lyckad (B20)",B20
667,B21 - Registrera Mjukvaruuppdatering – misslyckad,"Mätsystemet ska registrera och lagra information när följande Händelser inträffar:
5. Mjukvaruuppdatering – misslyckad (B21)",B21
668,B22 - Registrera Mjukvaruuppdatering – lyckad,"Mätsystemet ska registrera och lagra information när följande Händelser inträffar:
6. Mjukvaruuppdatering – lyckad (B22)",B22
669,B23 - Registrera Ändring av parametrar,"Mätsystemet ska registrera och lagra information när följande Händelser inträffar:
7. Ändring av parametrar (B23)",B23
670,B24 - Registrera Kommunikationsfel,"Mätsystemet ska registrera och lagra information när följande Händelser inträffar:
8. Kommunikationsfel (B24)",B24
671,B25 - Registrera temperatur överskrider gränsvärde,"Mätsystemet ska registrera och lagra information när följande Händelser inträffar:
9. Temperatur överskrider inställt gränsvärde (B25)",B25
672,B26 - Registrera  Elnätets frekvens utanför gränsvärden,"Mätsystemet ska registrera och lagra information när följande Händelser inträffar:
10. Elnätets frekvens över- eller underskrider inställda gränsvärden (B26)",B26
673,B27 - Registrera  Effektfaktor överskrider  gränsvärde per fas,"Mätsystemet ska registrera och lagra information när följande Händelser inträffar:
11. Effektfaktor överskrider inställt gränsvärde per fas (B27)",B27
674,B28 - Registrera Vektordiagram spänning och ström per fas,"Mätsystemet ska registrera och lagra information när följande Händelser inträffar:
12. Vektordiagram spänning och ström per fas (B28)",B28
675,B29 - Registrera när hög ström överskrider gränsvärde per fas,"Mätsystemet ska registrera och lagra information när följande Händelser inträffar:
13. Hög ström överskrider inställt gränsvärde per fas (B29)",B29
676,B30 - Registrera när hög effekt överskrider gränsvärde per fas,"Mätsystemet ska registrera och lagra information när följande Händelser inträffar:
14. Hög effekt överskrider inställt gränsvärde per fas (B30)",B30
677,B31 - Registrera när effektuttag överskrider gränsvärde,"Mätsystemet ska registrera och lagra information när följande Händelser inträffar:
15. Totalt effektuttag överskrider inställt gränsvärde (B31)",B31
678,B32 - Registrera anslutning som kan orsaka varmgång,"Mätsystemet ska registrera och lagra information när följande Händelser inträffar:
16. Identifierad anslutning som kan orsaka varmgång (B32)",B32
679,B33 - Registrera varmgång i anslutning,"Mätsystemet ska registrera och lagra information när följande Händelser inträffar:
17. Vid varmgång i anslutning (B33)",B33
680,B34 - Konfigurera register som ska lagras för händelser,För varje Händelse ska (B34) det finnas möjlighet att valfritt konfigurera vilka register (OBIS-koder) i Mätenheten som ska lagras.,B34
681,B35 - Inaktivera skickandet av Händelser från specifik Mätenhet,Det ska (B35) vara möjligt att inaktivera skickandet av Händelser från utpekad Mätenhet från HES i syfte att inte behöva få in en stor mängd Händelser från en viss Mätenhet.,B35
682,B36 - Tidsangivelsen får max avvika med 1 sek,Tidsangivelsen ska (B36) högst avvika med 1 sekunder från Normaltid för Mätenhet.,B36
683,B37 - Trådlös MBUS,Mätenheten bör (B37) kunna kommunicera med trådlös MBUS.,B37
684,B38 - Trådad MBUS,Mätenheten bör (B38) kunna kommunicera med trådad MBUS.,B38
685,B39 - Utgångar för laststyrning,Mätenheten bör (B39) kunna hantera utgångar för t.ex. laststyrning.,B39
686,B40 - Brytarknapp på mätaren,Brytaren ska (B40) kunna manövreras direkt med en separat brytarknapp på utsidan av Mätenheten.,B40
687,B41 - kumulativa räkneverket återges på Mätenhetens display,"Det kumulativa räkneverket ska (B41) kunna återges på Mätenhetens display enligt minst ett av följande två alternativ:
1. Både heltal och decimaler visas i displayen samtidigt
2. Endast heltal visas i displayen och genom handgrepp möjliggöra att decimalerna visas i displayen.",B41
688,B42 - Kommunikationsstatus,"Det ska (B42) vara möjligt att direkt, utan handgrepp och utan att öppna mätaren, kunna se Mätenhetens kommunikationsstatus.",B42
689,B43 - lysdioder i röd färg,Om Mätenheten är försedd med lysdioder som är synliga utanför Mätenheten ska (B43) dessa inte ha röd färg.,B43
690,B44 - passiv elektronisk tagg,Mätenhet ska (B44) ha en passiv elektronisk tagg för att vara spårbar när den inte är uppsatt.,B44
691,B45 - skruvinfästningar,Det ska (B45) inte finnas några förhöjningar runt Mätenhetens skruvinfästningar som begränsar storlek på skruvhuvud.,B45
692,B46 - montagehängsle,Det ska (B46) finnas ett montagehängsle placerad på Mätenhetens ovansida för montage.,B46
693,B47 - montagehängsle minst 5 mm,Tjockleken på Mätenhetens montagehängsle ska (B47) vara minst 5 mm.,B47
694,B48 - plomberingsanordning,Mätenhetens plomberingsanordning ska (B48) vara upphöjd och väl synlig för smidig och åtkomlig genomföring av plomberingstråden.,B48
695,B49 - skruvhuvud på plomberingsskruvarna,Det ska (B49) vara samma typ av skruvhuvud på plomberingsskruvarna som på anslutningsskruvarna för ledarna.,B49
696,B50 - Kortare plintlock,Kortare plintlock för Mätenheten ska (B50) finnas som alternativ om utrymmet på montageplatsen är begränsat.,B50
697,B51 - utbytbar kommunikationsenhet,Mätenhetens kommunikationsenhet bör (B51) vara utbytbar utan att spänningen till anläggningen bryts för att kunna ersättas vid felaktigheter eller för byte av kommunikationsmetod.,B51
698,B52 - 3-fas anpassas till 1-fasig mätning,3-fas Mätenheter ska (B52) kunna anpassas till 1-fasig mätning och då uppfylla de normkrav (MID) som finns på en rent 1-fasig mätare.,B52
699,B53 - dimensionerad minst strömstyrka 5A,Mätenheten ska (B53) vara dimensionerad för minst strömstyrka 5 (Imax 100) A.,B53
700,"B54 - anslutningsplin minst kabelarea 2,5–35 mm2","Mätenhetens anslutningsplint ska (B54) klara minst kabelarea 2,5–35 mm2.",B54
701,B55 - turordningen för olika sätt att samla in Mätvärden,Användare ska (B55) ha möjlighet att sätta turordningen för olika sätt att samla in Mätvärden till HES. Detta gäller manuella och schemalagda mätinsamlingar.,B55
702,B56 - Insamling i olika tidsintervall,Insamling av Mätvärden för Mätpunkterna ska (B56) kunna sättas i olika tidsintervall.,B56
703,B57 - Repetera kommunikationsförsök,Om ett kommunikationsförsök för mätinsamling misslyckas ska (B57) Mätsystemet repetera försöken det antal gånger som är förinställt.,B57
704,B58 - Konfigurerara kommunikationsförsök,Antalet kommunikationsförsök för mätinsamling ska (B58) kunna ändras.,B58
705,B59 - Lagring av Mätvärden i HES,"Lagring av Mätvärden i HES ska (B59) kunna ske periodiskt med följande valbara tidsintervall:
- Minutvärden (1–15 minuter)
- Timvärden
- Dygnsvärden
- Månadsvärden",B59
706,B60 -  sätta turordningen för olika exporter,Användare ska (B60) ha möjlighet att sätta turordningen för olika exporter från HES. Detta gäller både manuella och schemalagda exporter.,B60
707,B61 - Responstider i användargränssnittet,"Responstider i användargränssnittet i HES ska (B61) inte överstiga:
- 0,5 s från inmatning, knapptryckning el. motsv. till första respons på bildskärm
- 0,5 s för visning av formulär-vy inklusive data
- 5 s för visning av enkel rapport
- 15 s för inloggning",B61
708,B62 - Energivärden till annat system inom 10 sek,Energivärdena (15-minutersvärden) ska (B62) kunna exporteras från HES via integrationer till annat system senast 10 sekunder efter registrering i HES.,B62
709,B63 - PQ-värden till annat system inom 10 sek,PQ-värdena (15-minutersvärden) ska (B63) kunna exporteras från HES via integrationer till annat system senast 10 sekunder efter registrering i HES.,B63
710,B64 - Avbrottshändelse till annat system inom 1 sek,Avbrottshändelse ska (B64) kunna exporteras från HES via integrationer till annat system senast 1 sekund efter registrering i HES.,B64
711,B65 - Kommunikationsmetadata till annat system inom 1 sek,Kommunikationsmetadata (15-minutersvärden) ska (B65) kunna exporteras från HES via integrationer till annat system senast 1 sekund efter registrering i HES.,B65
712,B66 - Rapport - Rubrik som motsvarar attributet,För alla attribut som väljs att ingå i en rapport ska (LB66) det finnas en rubrik som motsvarar attributet. T.ex. en rubrik ”adress” när det är adressdata som ingår i rapporten,B66
