ID,Rubrik,Info & Förberedelser,Kravområde,Länkade krav,Beskrivning,Beskrivning.1,Beskrivning.2,Beskrivning.3,Beskrivning.4,Beskrivning.5,Beskrivning.6,Beskrivning.7,Beskrivning.8,Beskrivning.9,Beskrivning.10,Beskrivning.11,Beskrivning.12,Beskrivning.13,Beskrivning.14,Beskrivning.15,Beskrivning.16,Beskrivning.17,Beskrivning.18,Beskrivning.19,Beskrivning.20,Beskrivning.21,Beskrivning.22,Beskrivning.23,Beskrivning.24
28,Koppla registerpost mot anläggningsregister,"Intention: Verifiera att det går att lägga upp anläggningar i ett register eller integrerat till befintligt koppla anläggningar till registerpost som metadata

Förutsättningar: Anläggningar finns tillgängliga

Beroenden:",Funktioner,116 - Kopplad anläggning,"Roll=huvudregistrator. På startsidan, välj ""Meny"" längst upp till höger. I rutan Fastighet, välj ""skapa fastighet""","Fyll i följande:
Beskrivning: Huvudkontoret, Rantorget
Adress: Johan Willins gata 3
Land=Sverige
Postnummer: 401 20 som då genererar följande
Ort: Göteborg
Kommun: Göteborg
Län: Västra Götaland
Klicka på Slutför","Välj Skapa nytt ärende och fyll i nödvändig information. I fältet ""Fastighet"", skriv in ett %-tecken och tryck enter","Välj den redan skapade fastigheten, se ovan, och klicka på slutför","Roll=handläggare. I befintligt ärende, välj att skapa Nytt ärendedokument.","Fyll i obligatoriska uppgifter samt i fältet ""Fastighet"", skriv in ett %-tecken och tryck enter.",Välj den redan skapade fastigheten och klicka på slutför,"Klicka på det nya ärendedokumentet och klicka på informationsdelen ""Fastigheter"" till höger för att expandera denna.",,,,,,,,,,,,,,,,,
29,Koppling mellan registerposter,"Intention: Verifiera att Registerposter kan kopplas samman med korsreferenser så att det enkelt går att navigera mellan dem fram och tillbaka

Förutsättningar: Två ärenden inklusive händelser, ärendedokument, i varje

Beroenden:",Funktioner,163 - Koppling mellan relaterade ärenden| 164 - Koppling mellan händelser,"Roll huvudregistrator :
Öppna det ena ärendet. I informationsdelen ""Ärendereferenser"" till höger, klicka på knappen ""Ny ärendereferens""","I fältet ""Ärende"" anges diarienumret för det ärende som det skall länkas till. Tryck enter eller på bocken",Klicka på OK,Klicka på den skapade ärendereferensen,Gå tillbaka till det ursprungliga ärendet genom att klicka på ärendereferensen.,"Öppna det registrerade ärendedokumentet.  I informationsdelen ""Dokumentreferenser"" till höger, klicka på knappen ""Ny Dokumentreferens""","I fältet ""Relation"" välj ""Korsreferens till"", i fältet ""Dokument"" anges dokumentnumret. Tryck enter eller klicka på bocken","Klicka på ""OK""",Klicka på den skapade Dokumentreferensen,Gå tillbaka till det ursprungliga ärendedokumentet genom att klicka på dokumentreferensen.,"Roll huvudregistrator:
Skapa två tomma diarieärenden till aktuell handläggare med status behandlas. Ange ärendenummer i kommentarsfältet.","Roll handläggare:
Öppna båda ärendena i två olika flikar. I det ena ärendet, gå till informationsdelen ""Ärendereferenser"" till höger, klicka på knappen ""Ny ärendereferens""","I fältet ""Ärende"" anges diarienumret för det ärende som det skall länkas till. Tryck enter eller på bocken",Klicka på OK,Klicka på den skapade ärendereferensen,Gå tillbaka till det ursprungliga ärendet genom att klicka på ärendereferensen.,"Skapa ärendedokument i båda diaireärendena med riktning UT. Låt status ""under arbete"" vara","Öppna det ena registrerade ärendedokumentet . I informationsdelen ""Dokumentreferenser"" till höger, klicka på knappen ""Ny Dokumentreferens""","I fältet ""Relation"" välj ""Korsreferens till"", i fältet ""Dokument"" anges dokumentnumret. Tryck enter eller klicka på bocken","Klicka på ""OK""",Klicka på den skapade Dokumentreferensen,Gå tillbaka till det ursprungliga ärendedokumentet genom att klicka på dokumentreferensen.,,,
30,Redigering av metadata i registerpost,"Intention: Verifiera att samtliga metadatafält antingen har ett systemgenererat innehåll eller kan redigeras med olika metoder. Även verifiera att metadata endast kan redigeras av behörig och/eller när status tillåter.

Förutsättningar: 

Beroenden:",Funktioner,89 - Återöppna och uppdatera dokument| 179 - Redigerbara metadata| 186 - Skrivskydd vid avslut,"Roll=handläggare. Utgående Diariehändelse, ärendedokument, med status ""registrerat"". Handläggare klickar på Redigera.","Roll=huvudregistrator ändrar status på aktuellt ärendedokument till ""under arbete""",Roll=handläggare. Öppna aktuellt ärendedokument för redigering. I fältet Fastighet anges % och tryck enter,"I fältet Dokumentkategori ändras till ""Information -Ut""","I fält Konfidentialitetsnivå välj ""Mycket känslig""","I fält Sekretess/särskilda personuppgifter väljs ""Allmän handling - Sekretess",I fältet Paragraf väljs OSL 32 kap 3b,"I fältet Titel läggs ""Test av redigering av metadata"" till efter nuvarande titel","I fält ""Val för offentlig titel"" väljs ""Skriv in offentlig titel manuellt""","I fältet ""offentlig titlel"" anges ""Test offentlig""",I fältet Mottagare läggs till ytterligare Ny kontakt,"I fältet Avsändarens ref. anges ""12345""","I fältet Antal bilagor ändras till ""11""",Klicka på slutför,,,,,,,,,,,
31,Öppna filer från sökresultat,"Intention: Verifiering av förmåga att från sökresultat direkt interagera och öppna bifogade filer

Förutsättningar: Registrerat ett flertal ärenden och ärendedokument. Dokument med wordfil. Status under arbete.

Beroenden: Integration till M365 samt andra lokalt installerade applikationer för visning och redigering av filer av olika format.",Integration,148 - Öppna filer direkt från sökresultat,Välj Avancerad sökning sedan dokument,Granska att det går att söka dokument. I fältet Dokumenttitel sök på 'Öppna filer'. För sökning tryck Sök,Granska att funktion finns som kan öppna filer direkt i sökresultatet. Tryck på (dokumentsymbolen) klicka här för att öppna filen direkt från sökresultatet,Verifiera att alternativen Skrivskyddad och Redigera finns att välja,Tryck på Skrivskyddad och verifiera att filen öppnas,Stäng filen,Tryck på dokumentsymbolen klicka här för att öppna filen igen direkt från sökresultatet,Tryck på Redigera,Skriv till några ord och spara och stäng filen,Tryck på dokumentsymbolen på klicka här för att öppna filen direkt från sökresultatet,Tryck på Redigera,Verifiera att orden som skrevs in i tidigare skede står i dokumentet,,,,,,,,,,,,,
32,Sökprestanda,"Intention: Verifiera prestanda kring sökningar och användarupplevd responsivitet i gränssnitt och presentation av resultat.

Förutsättningar: Datavolymer bör vara representativa, systemresurser i backend bör återspegla ett produktionssystem, latens mellan backend och klient bör vara i relation till blivande driftsförhållanden. 

Beroenden: Det finns två sökfunktioner ""snabbsök"" eller Globalsök och Avancerad sök. Snabbsöken är baserad på data i Elastic medan Avancerad söker mot SQL. De har olika sökmetoder och syntax.

Antaganden:
- Globalsök i Elastic levererar endast ID eller listor i retur som i sin tur pekar på objekt i SQL. Om detta antagande är rätt så är alltid resultaten av sök hämtade från SQL även om det är Elastic som preciserar vad som ska hämtas genom sin sök. Därför är sökresultat beroende av om Elastic och SQL är synkade. DVS, i slutänden är det oavsett sökmetod snabbheten i SQL som avgör prestandan i någon mån vid presentation av resultat. 
- All data är sökbar så att söka på ett ord bör ge träffar oavsett vart det är lagrat.",Prestanda och Tillförlitlighet,233 - Sökprestanda,"I Globalsök sök på endast ett wildcard (*) i P360
Titta först på resultat i ""Alla"" sedan varje resultatflik för sig.","I Globalsök gör riktat sök på enstaka ord i P360.
Titta först på resultat i ""Alla"" sedan varje resultatflik för sig.
Repetera sök för flera olika ord, både såna som ger många träffar, få träffar och inga träffar","I Avancerad sökning per sökkategori (objektstyp) gör en Snabbsök med ord som ger många träffar.

Markera ""Visa alla"" när resultat överstiger 250 så att resultat blir komplett. 
Markera ""Använd förhandsgranskning"" på objektet Fil.
Mät tiden tills resultat presenterats fullt ut i gränssnitt.
Objektstyper och sökord:
- Ärende,  ""Göteborg""
- Dokument, ""Göteborg""
- Kontakt, ""<tom sträng>""
- Aktivitet, ""Protokoll""
- Fil, ""Göteborg""","I Avancerad sökning per sökkategori (objektstyp) gör en Avancerad sökning med ord som ger många träffar.

Markera ""Visa alla"" när resultat överstiger 250 så att resultat blir komplett. 
Markera ""Använd förhandsgranskning"" på objektet Fil.
Mät tiden tills resultat presenterats fullt ut i gränssnitt.
Objektstyper, fält och sökord:
- Ärende, Ärendetitel, ""Göteborg""
- Dokument, Dokumenttitel, ""Göteborg""
- Kontakt, ingen, ""<tom sträng>""
- Aktivitet, Titel, ""<tom sträng>""
- Fil, Dokumenttitel, ""Göteborg""",,,,,,,,,,,,,,,,,,,,,
33,Massuppdateringar,"Intention: Verifiera förmågan att massuppdatera olika volymer av registerposter

Förutsättningar: Roll=huvudregistrator

Beroenden:",Funktioner,234 - Bulkuppdateringsvolym| 235 - Bulkuppdatering minvolym,"Roll=huvudregistrator. 
Uppdatering av 300 ärenden (MAX)
Välj funktion för att massuppdatera ärende. Sök upp dom ärenden som skall uppdateras","I sökresultatet, välj ut dom 300 ärenden som skall uppdateras",Välj att massuppdatera Status på ärendena. Starta uppdatering,Om massupdatering med tidigare angivet antal ärenden inte fungerar gör om samma test tills uppdateringen utförs ok. Dock skall antalet ej understiga 50,"Roll=huvudregistrator. 
Uppdatering av 300 ärendedokument (MAX)
Välj funktion för att massuppdatera ärendedokument. Sök upp dom ärendedokument som skall uppdateras","I sökresultatet, välj ut dom 300 ärendedokument som skall uppdateras",Välj att massuppdatera Ansvarig handläggare på ärendedokumenten. Starta uppdatering,Om massupdatering med tidigare angivet antal ärendedokument inte fungerar gör om samma test tills uppdateringen utförs ok. Dock skall antalet ej understiga 50,,,,,,,,,,,,,,,,,
34,Skicka fil som bilaga,"Intention: Verifiera att integration till e-postklient stödjer att från diarie markera och välja att skicka fil som bilaga i ett e-postmeddelande.

Förutsättningar: Integration till M365 och e-post. Befintligt ärende, ärendedokument samt fil

Beroenden:",Funktioner,146 - Skicka fil som bilaga,Öppna befintligt ärendedokument,"Klicka på knappen ""Dokumentfunktioner"" och välj ""Skicka som bilaga med e-post""","I e-postmeddelandet: Använd dom förifyllda kontakterna eller ändra enligt önskemål, lägg till meddelande samt signatur och klicka på knappen ""Skicka""",,,,,,,,,,,,,,,,,,,,,,
35,Presentation av användare ur AD,"Intention: Verifiera att det ur integration från AD går att se och välja användare i systemet och lägga till dem i registerposter. Även verifiera att korrekt och komplett information om användare visas i valbar lista från integration.

Förutsättningar: Integration och /eller användarregister är synkad till Diarie

Beroenden:",Integration,185 - Handläggares organisatoriska tillhörighet| 260 - Katalogtjänstintegration,"Roll=huvudregistrator.
Välj funktion för att skapa ett nytt diarieärende","I fältet Ansvarig skriv början på ett namn tex ""And""","Nu aktiva användare listas
(Metod att se användares status behöver läggas till senare)",Välj valfri användare i listan,Fyll i resten av dom obligatoriska fälten i registreringsformuläret och Slutför,Kontrollera att den angivna ansvarige personens Organisationstillhörighet stämmer. Använd tex Sök en kollega eller sök upp personen på Intranätet,,,,,,,,,,,,,,,,,,,
36,Ärendelänk i notifiering,"Intention: Att verifiera notifieringsmeddelande så att det går att bifoga en ärende eller dokumentlänk som leder rätt.

Förutsättningar: Notifieringsmeddelande är konfigurerat så att det finns en tjänst för att skicka dem, mail eller som intern notifiering i Diarie.
Koppling mellan testmiljö och Outlook för att kunna skicka mailnotifiering inklusive länk
Beroenden:",Funktioner,37 - Ärendelänk i notifieringsmeddelande,Skapa nytt ärende på handläggare,Öppna mailnotifiering i outlook och klicka på den länk till ärendet som bifogas,Öppna intern notifiering angående ärendet i P360,"I samma ärende, skapa ett nytt ärendedokument på samma handläggare",Öppna mailnotifiering i outlook och klicka på den länk till ärendet som bifogas,Öppna intern notifiering angående ärendedokumentet i P360,,,,,,,,,,,,,,,,,,,
37,Sekretesshantering,"Intention: Att verifiera så att Diarie kan hantera sekretess korrekt och att endast behöriga kan ta del av sekretessinformation. Sekretess på registerpost kan slås på och av samt att handläggare och dess chefer ska kunna se men inte andra.

Förutsättningar: Registrerat ärende med sekretess. Inloggad i olika roller

Beroenden:",Funktioner,40 - Maskning av klassad information i presentation| 42 - Upphäva/ändra sekretess| 43 - Organisatorisk penetretion av sekretessinformation,"Användare 1 - Som ägare av befintligt ärende skapa nytt dokument, sedan Dokument därefter Ärendedokument","Fyll i obligatorisk information markerad med asterisk (riktning och konfidentialitetsnivå, avsändare, ankomstdatum och ansvarig) till valfritt.",För fältet Sekretess/särskilda personuppgifter välj Allmän handling - Sekretess,För fältet paragraf välj 19.1,Skriv in i fältet titel 'Test av sekretess 2023',För fältet val av offentlig titel välj Skriv in offentlig titel manuellt,Skriv in 'Test av titel 2023' i val av Offentlig titel,Välj slutför,Användare 3 - Inloggad som handläggare 2 (utan behörighet till ärendet). Sök i globalsök efter: Test av sekretess 2023,Sök igen. Sök efter Test av titel 2023,Användare 4 - Inloggad som huvudregistrator. Välj samma dokumentkort (händelse) registrerat med sekretess,Välj Dokumentfunktioner och sedan Redigera egenskaper,Ändra fältet Val av offentlig titel till 'Skydda hela offentiga titeln',Välj slutför,Välj knappen 'Mera' med en pil nedåt,Välj rättigheter och granska så att Arkivroll (Archive = Huvudregistrator) samt enhetsroll har behörighetsnivå 'Ändra',Användare 2 - Inloggad som Chef Handläggare 1 kontrollera tillgång till ärendekort och fil,"Användare 3 - Inloggad som handläggare 2. Kontrollera så att det inte är möjligt att öppna fil i dokumentkortet (händelsen) försedd med sekretess för det tidigare skapade dokumentkortet, som skapades av annan handläggare","Kontrollera som handläggare 2 att dokumentkortet (händelsen, som har skyddad offentlig titel) har titel 'Offentlig titel vid sekretess'",Användare 4 - Inloggad som huvudregistrator. Välj samma dokumentkort (händelse) registrerat med sekretess,Välj dokumentfunktioner sedan Redigera egenskaper,Ändra fältet sekretess/särskilda personuppgifter från Allmän handling - Sekretess till 'Nej',Välj slutför,"Verifiera att sekretessymbolen är borta. Verifiera i fältet Detaljer, till höger att Sekretess/särskilda personuppgifter är ändrat till Nej",
38,Sekretesstid,"Intention: Att verifiera inställningar för sekretesstid i diarie. Att det går att ställa in per paragraf, att det sätter en tid på ärendet baserat på tiden för paragraf samt att inget som inte ska hända händer per automatik när sekretesstid infaller.

Förutsättningar: Registrerat ärende och dokumentkort (händelse)

Beroenden:",Funktioner,41 - Sekretesstid,Välj ett dokumentkort (händelse),Välj dokumentfunktioner sedan Redigera egenskaper,Välj Sekretess/särskilda personuppgifter och ändra till Allmän handling - Sekretess,Välj paragraf 19.1,Välj val av offentlig titel Sätt offentlig titel lika med titel,Välj slutför,Kontrollera att valet genererat sekretesstid 20 år,I roll med administratörsrättigheter verifiera möjligheten att manuellt ändra sekretesstid. Ändra tid från 20 år till 15 år,Skapa nytt ärendedokument i samma ärende och då med sekretess med paragraf 19.1,Öppna det skapade ärendedokumentet och klicka på fyrkanten längst till höger i fältet Detaljer (öppna i dialogruta),,,,,,,,,,,,,,,
39,Bulkinmatning och ärvd metadata,"Intention: Att verifiera funktion för bulkinmatning av fler ärenden i rad där metadata ärvs till de nya posterna så att förloppet snabbas upp och metadata hålls konsistent mellan ärenden. Samt funktionen att händelser ärver metadata från ärende.

Förutsättningar:  Registrerat ärende med sekretess, konfidentialitetsnivå känslig och flera handläggare

Beroenden:",Funktioner,59 - Seriell bulkinmatning med ärvd metadata| 183 - Kopiera information från ärende| 192 - Kloning av befintliga registerposter| 193 - Arv av metadata till underordnad registerpost,"I befintligt diarieärende med sekretess, konfidentialitetsnivå känslig och flera handläggare välj Ärendefunktioner, därefter spara som",Samtliga fält ifyllda utom Diarieenhet,Välj Diarieenhet 10 Göteborg Energi AB därefter slutför,Kontrollera att filer samt händelselogg inte kopierats över till det klonade ärendet,"Kontrollera att sekretess, konfidentialitetsnivå känslig och de utvalda handläggarna ärvts till det klonade ärendet",Skapa nytt dokumentkort (händelser) genom att välja nytt dokument sedan dokument och därefter ärendedokument,Fyll i samtliga obligatoriska fält,Välj kontakter därefter knappen Hantering och sedan Lägg till interna kontakter från ärende,Välj Slutför,Välj dokumentfunktioner därefter Spara som och sedan Ärendedokument,En varning kommer upp med att ett dokument med samma titel existerar i ärendet,Välj kopiera ärendetitel till dokumentitel,Verifiera att ärendedokumentet ärver diarieärendets sekretessnivå,Välj slutför,,,,,,,,,,,
40,Metadata i dokument och utskrifter,"Intention: Att verifiera funktion kring metadata för placering i dokument och utskrifter. Automatiskt tillägg i konvertering, styrning av metadata till definierade fält i dokument och mallar, tillägg vid utskrift.

Förutsättningar: 

Beroenden: Enligt leverantör är detta endast möjligt i mallar som hålls och administreras inom P360 och inte för mallar som hanteras via plug-in i M365 (Office).",Funktioner,97 - Metadata appliceras i filer| 98 - Applicering av metadata till anvisade ytor i filer| 101 - Metadata appliceras till utskrift av dokument| 102 - Metadata i mallars sidhuvud och -fot,,,,,,,,,,,,,,,,,,,,,,,,,
41,Skapande och export av JK-lista,"Intention: Verifiera att det går att skapa och exportera eller skriva ut en komplett och korrekt JK-lista

Förutsättningar: Ärenden i olika status i lösningen.Ärenden med olika tidsperioder i metadata. 

Beroenden:",Funktioner,149 - JK-lista ärendebalans,Välj JK-lista,"Välj starta rapport (Kriterier enligt JK-lista, se kommentar nedan, skall vara förifylld).",Välj Skriv ut därefter Print,Din PDF är klar. 'Your PDF is ready'. Tryck på länk nedan för att visa PDF. När PDF-filen visas finns möjligheten att skriva ut,"Välj Export drop down menu (en diskett), välj exportera till Excel",,,,,,,,,,,,,,,,,,,,
42,Skapa postlista,"Intention: Verifiera att det går att skapa en postlista med olika datum och tidsperioder som blir komplett och korrekt och kan exporteras och skrivas ut.

Förutsättningar: Korrenspondens finns diarieförd utmed en längre tidsperiod. 

Beroenden:",Funktioner,141 - Postlista,Välj Postlista,Välj Diariedatum från och med till och med,Välj bolag 10 - Göteborg Energi AB,Välj Starta rapport,Välj Skriv ut därefter Print,Din PDF är klar. 'Your PDF is ready'. Tryck på länk nedan för att visa PDF. När PDF-filen visas finns möjligheten att skriva ut,"Välj Export drop down menu (en diskett), välj exportera till Excel",,,,,,,,,,,,,,,,,,
43,Åtkomst till servrar,"Intention: Förutsättningar: Beroenden:
Inloggning till P360 servrar",Drift och underhåll,"71 - Språrbara, unika entitetsID i loggar",,,,,,,,,,,,,,,,,,,,,,,,,
44,Åtkomst till applikationen,"Intention: Förutsättningar: Beroenden:
Nätverksinloggning/SSO",Applikationsadministration,,,Åtkomst klient i Outlook,Åtkomst till webapplikation,,,,,,,,,,,,,,,,,,,,,,
45,Navigera i applikationen,"Intention: Förutsättningar: Beroenden:
Syftet med testet är att se att vi har åtkomst till olika vyer, innehållet granskas inte i detta test.
Åtkomst till applikation",,,Logga in i applikationen,Navigera i applikationen,,,,,,,,,,,,,,,,,,,,,,,
46,Admingränssnittet - Rapporter,"Intention: Förutsättningar: Beroenden:
Behörighet att starta rapporter i admingränssnittet, t ex användarstatistik
Testet utför i rollen administratör",Applikationsadministration,19 - Användaradministration,Navigera till 360 admin i rollen som admin,Starta samtliga rapporter,Spara resultat från två rapporter,,,,,,,,,,,,,,,,,,,,,,
47,Behörigheter,"Intention: Förutsättningar: Beroenden:
Inloggad som handläggare och registrator",Säkerhet och sekretess,40 - Maskning av klassad information i presentation| 43 - Organisatorisk penetretion av sekretessinformation,Logga in i rollen handläggare och skapa ett ärende,Sök fram sekretessärenden  i rollen handläggare,Sök fram sekretessärenden  i rollen registrator,Logga in i rollen registrator och skapa ett ärende,,,,,,,,,,,,,,,,,,,,,
48,Åtkomst från klient,Intention: Förutsättningar: Beroenden:,Integration,,Från klient accessa P360 web URL,"Från klient med Outlook konfigurerar att gå mot önskad backendserver, accessa P360 sidopanel. Öppna inkorg, och Sök",,,,,,,,,,,,,,,,,,,,,,,
49,Avsluta och ställa av diarium,"Intention: Verifiera att det i lösningen går att avsluta ett diarium, att det är en tydlig och intuitiv process.

Förutsättningar: Det finns ett Diarie med data i att ställa av.

Beroenden:",Funktioner,49 - Avslut av diarium,,,,,,,,,,,,,,,,,,,,,,,,,
50,Val av handlingstyp,"Intention: Verifiera att vid skapande eller uppdatering av händelse kan handlingstyp väljas. Att rätt typer finns att välja emellan samt att det är en bestämd förvald som blir den valda om inget val görs.

Förutsättningar: Registrerat ärende. 

Beroenden:",Funktioner,118 - Handlingstyp i diariehändelse,Välj Nytt dokument sedan dokument och därefter Ärendedokument,Välj Riktning. Riktning väljs och Dokumentkategori (fältet nedanför) får automatiskt Handlingstyp 'Handling'. Välj därefter Dokumentkategori.,Fyll i samtliga obligatoriska fält (markerad med asterisk),Välj Slutför,Välj Dokumentfunktioner och sedan Redigera egenskaper,Välj Dokumentkategori och ändra till Beslut,Välj Slutför,,,,,,,,,,,,,,,,,,
51,Klassificeringskoder,"Intention: Verifiera att det finns en lista med klassificeringskoder, att de stämmer överens med dokumenthanteringsplanen och att eventuella beroenden till valda koder triggar ytterligare funktion eller aktivitet.

Förutsättningar: Tillgång till dokumenthanteringsplanen vilket finns på intranätet. Länk finns här: https://p360.goteborgenergi.se:8082/locator.aspx?name=DMS.File.CurrentRevisionFiles&recno=374404

Beroenden:",Affärsprocesser,122 - Klassificeringskod,"Roll - Huvudregistrator. 
Startsidan->Meny->Skapa diarieärende","I fältet Delarkiv, klicka på nedåtpilen för flervalslista","I fältet Delarkiv, välj  ""Göteborg Energi"", I fältet ""Klassificeringskod"", ange %-tecken och tryck enter eller klicka på bocken till höger","I fältet Delarkiv, välj ""Klassificeringsstruktur för koncernen Göteborg Energi"". 
I fältet ""Klassificeringskod"", ange %-tecken och tryck enter eller klicka på bocken till höger",Jämför klassificeringskoderna med aktuell dokumenthanteringsplan,"I fältet ""Klassificeringskod"" ange endast första siffran i en processgrupp tex 3","I fältet ""Klassificeringskod"", ange ett ord tex ""bygg""","I fältet ""Klassificeringskod"", ange en specifik klassificeringskod ""2.12""",Fyll i resterande obligatoriska uppgifter i registreringsformuläret och klicka på slutför,,,,,,,,,,,,,,,,
52,Val av publik alternativ information vid sekretess,"Intention: Verifiera att vid sekretess av ärende och händelse kan alternativ väljas för titel och ärendemening och en lista med fördefinierade val eller möjlighet att skapa egen alternativ titel och ärendemening.

Förutsättningar: Testare behöver ha tillgång till flera roller på sin profil och behöver ha bl.a. Huvudregistratorbehörighet

Beroenden:",Affärsprocesser,123 - Alternativ information vid sekretess,Roll=huvudregistrator. Meny->Skapa ärende,"I fältet sekretess/särskilda personuppgifter väljs ""Allmän handling - sekretess""",I fältet Paragraf anges valfri paragraf,"Fält Titel =""Test av alternativ titel vid sekretess""""","Fält för ""Val för offentlig titel"" skall finnas med urvalslista. Välj här ""Skriv in offentlig titel manuellt""","Fält för ""Offentlig titel"" tillkommer. Ange här """"Offentlig titel vid sekretess",Ange ansvarig på ärendet och fyll i resterande obligatoriska fält och klicka på Slutför,"Roll=handläggare utan behörighet till ärendet. 
Gör en sökning på ärendetitel och ange då ""Test av alternativ titel vid sekretess"" (originaltiteln)","Gör en sökning på ärendetitel och ange då ""Offentlig titel vid sekretess""",Klicka på ärendet som visas i sökresultatet,"Roll=huvudregistrator. 
I aktuellt ärende, skapa ett nytt ärendedokument och fyll i följande:
- Riktning = Internt
- Dokumentkategori=Beslut
- Låt den ärvda konfidentialitetsnivån samt sekretess vara kvar
- Titel=Test av alternativ titel vid sekretess. Ärendedokument
- Val av offentlig titel=Skriv in offentlig titel manuellt
- Offentlig titel=""Offentlig titel vid sekretess. Ärendedokument""
- Ansvarig
- Slutför","Roll=handläggare utan behörighet till ärendet. 
Gör en sökning på ärendedokument och titel och ange då ""Test av alternativ titel vid sekretess. Ärendedokument"" (originaltiteln)","Gör en sökning på titel i ärendedokument och ange då ""Offentlig titel vid sekretess. Ärendedokument""",Klicka på ärendedokumentet som visas i sökresultatet,,,,,,,,,,,
53,Utskrift och export av sökresultat,"Intention: Verifiera att användare kan välja att exportera och/eller skriva ut listor som utgör sökresultat. Att innehåll i listor baseras på det valda informationsfälten i vyn användaren har. Att det går  att välja till vilket format export ska göras och att innehåll i export eller utskrift är komplett.

Förutsättningar: Registrerade ärenden och dokumentkort (händelse) 

Beroenden:",Funktioner,130 - Utskrift av sökresultat| 143 - Användarspecifika rapporter| 144 - Export av rapporter| 145 - Export av information i Gallrade registerposter,Välj avancerad sökning sedan Dokument,Fyll i Dokumenttitel med ordet 'Sökresultat'. Tryck på Sök,Kryssa i rutan till vänster för de tre ärenden som är överst i sökresultatet,Välj hantering och en rullmeny öppnas,"Välj ""Skriv ut dokument"" - > ""Skriv ut valda dokument"" och välj OK i dialogruta för att omorganisera dokumenten. Och tryck OK på dialogruta som informerar om att PDF blir skapad.",Invänta notifiering via e-post med länk till skapade PDF:er.,Exportera sedan Kalkylblad och kontrollera innehåll,Stäng Excel-filen. Välj hantering och en rullmeny öppnas,Välj Spara sökkriterier,Låt obligatoriskt fält favoritgrupp Mina vara ifyllt,Välj namn och skriv Min favoritsökning i fältet för namn,Tryck Ok,Verifiera att Favoritsökningen finns under Sparade sökningar,Välj Alla sparade sökningar därefter Dokument,Tryck på Min favoritsökning,,,,,,,,,,
54,Export av diarium till SIP,"Intention: Verifiera att diarielösning kan exportera kompletta och korrekta SIP:ar enligt OAIS-modellen som går att återläsa.

Förutsättningar: Behörighet att exportera databas och filer. En motpart med annat system för inläsning än det som genererat exporten är involverat. Diskyta med tillräcklig ledig volym för att lagra exporterad fil. Verktyg för validering av export.

Beroenden:",Funktioner,160 - Export av komplett diarium,Ta ut testdatabasen (metadata och filer) som XML-export med FGS Ärendehantering som metadataschema.,Validera exporten med lämpligt verktyg.,Be motpart göra en ingest med exporten som SIP.,,,,,,,,,,,,,,,,,,,,,,
55,Återöppning av avslutat ärende,"Intention: Verifiera att ett avslutat ärende kan återöppnas för editering.

Förutsättningar: Ärende med status ""avslutat""

Beroenden:",Affärsprocesser,182 - Återöppnande avslutade ärenden,"Roll=huvudregistrator.
Gå in i aktuellt ärende som har status ""Avslutat"". Klicka på knappen ""Sätt status"" , välj ""Behandlas"" samt klicka på ""OK""","Under ärendefunktioner välj ""Redigera egenskaper""","Ändra följande:
Konfidentialitetsnivå=Mycket känslig
Sekretess/särskilda personuppgifter=Allmän handling-Sekretess
Paragraf=OSL 15.2
Val för offentlig titel = Sätt offentlig titel lika med titel
Titel=Lägg till ""Redigerat"" i slutet","Roll=handläggare.
Gå in i aktuellt ärende som har status ""Avslutat"". Klicka på knappen ""Sätt status"" , välj ""Behandlas"" samt klicka på ""OK""",,,,,,,,,,,,,,,,,,,,,
56,Åtkomststyrning och kontroll,"Intention: Verifiera att lösningen kan styra på personnivå för access till dokument och filer samt att loggning av aktiviteter identifierar vilket användarkonto som utfört aktiviteter i systemet och i ärenden.

Förutsättningar: Tillgång till adminigränssnitt och kanske även till AD eller de filer som synkas in från AD för ev. manipulation. Access till lösningens olika loggar för att läsa ut händelser i system och lösning.

Beroenden:",Säkerhet och sekretess,3 - Åtkomststyrning på personnivå,,,,,,,,,,,,,,,,,,,,,,,,,
57,Diarieföra från Teams,"Intention: Verifiera att integration mellan Teams och diarie har de förutsättningar och förmågor som efterfrågas. Initiering av diarieföring direkt från Teams och ett stöd att sömlöst slutföra uppgiften.

Förutsättningar: Teamsintegration tillgänglig.

Beroenden:",Integration,266 - Teamsintegration,,steg,,,,,,,,,,,,,,,,,,,,,,,
