ID,GE_KravID,Rubrik,Beskrivning
181,,Lagring av Mätvärden i HES,"För mätvärden, verifiera att lagring av data kan göras med följande tidsintervall:
- Minutvärden (1–15 minuter)
- Timvärden
- Dygnsvärden
- Månadsvärden."
182,,Skapa mätserier för tidsintervall,"Verifiera att det är möjligt att skapa mätserier för ett valt tidsintervall för:
- Minutserie (1–15 minuter). Verifiera att det är möjligt att skapa mätserier för ett valt tidsintervall för:
- Timserie. Verifiera att det är möjligt att skapa mätserier för ett valt tidsintervall för:
- Dygnsserie. Verifiera att det är möjligt att skapa mätserier för ett valt tidsintervall för:
- Månadsserie."
183,,Positionskoordinater,Verifiera att det i HES går att lagra och presentera positionskoordinater för Mätenhet.
184,,Konfigurera händelser med  gränsvärden,"Verifiera att det är möjligt att från HES konfigurera Händelser för olika gränsvärden i Mätenhetens register. Den nya konfigurationen ska kunna distribueras till Mätenheterna. Ändra konfigaration för två olika parametrar - t ex temperatur, och skicka till mätenheten."
185,,Händelse-ID till händelsetext,Verifiera att händelse-ID presenteras som en läsbar text/förklaring för användaren i HES.
186,,Händelser lagras 13 mån,Be Kamstrup visa hur systemet konfigurerats för att lagra händelser i minst 13 månader.
187,,sätta turordningen för olika exporter,Användare ska (B60) ha möjlighet att sätta turordningen för olika exporter från HES. Detta gäller både manuella och schemalagda exporter.
188,,Exportera rapporter och data,"Verifiera att framsökta mät- och strukturdata samt färdiga rapporter kan exporteras till ett valfritt standardiserat textfilsformat, exempelvis csv."
189,,Skapa och schemalägga Jobb för mätinsamling,Verifiera att en Användare i HES kan skapa och schemalägga insamlingsjobb.
190,,Skapa och starta manuella exportjobb,Verifiera att en Användare i HES kan skapa och starta manuella exportjobb.
191,,Importera strukturdata,"Verifiera att det i HES går att importera strukturdata från ett valfritt standardiserat textfilsformat, exempelvis csv."
192,,Importera Mätdata,"Verifiera att det finnas funktionalitet i HES för att kunna importera Mätdata från ett valfritt standardiserat textfilsformat, exempelvis csv."
193,,S119- Energivärden exporteras inom 30 sek,
194,,Energivärden till annat system inom 10 sek,Verifiera att engergivärdena levereras från HES enligt överenskommet exportintervall.
195,,PQ-värden exporteras inom 30 sek,
196,,PQ-värden till annat system inom 10 sek,
197,,Sammanställa statistik för mätvärden,Verifiera att det i HES finns funktionalitet för att sammanställa statistik över Mätvärden och visa detta grafiskt och i tabellform. Verifiera att det i HES finns funktionalitet för att sammanställa statistik över Mätvärden och visa detta grafiskt och i tabellform.
198,,Rapport - Rubrik som motsvarar attributet,Verifiera att attribut som väljs att ingå i en rapport har en rubrik som motsvarar attributet. T.ex. en rubrik ”adress” när det är adressdata som ingår i rapporten.
199,,Fördefinierade rapporter,Verifiera att det finns fördefinierade rapporter i HE.
200,,Skapa egna rapporter,Verifiera att det är möjligt för Användaren att själv skapa rapporter och definiera innehåll i HES.
201,,Presentera mätarställning för tidpunkt,Verifiera att det i HES går att presentera en Mätarställning för en viss tidpunkt.
202,,Förbrukningsvärden för tidsintervall,"Verifiera att det i HES går att beräkna, lagra och presentera förbrukningsvärden för olika tidsintervall. Förbrukning beräknas som skillnaden mellan Mätarställningar vid olika tidpunkter."
203,,Användargränssnitt enligt standard,"Användargränssnittet ska (S128) vara ändamålsenligt, effektivt och ge god tillfredsställelse i användningen, såsom definierat i den internationella standarden ISO 9241-11 eller likvärdig."
204,,PQ-händelser exporteras inom 1 min,
205,,Avbrottshändelser exporteras inom 10 sek,
206,,Kommunikationsmetadata exporteras inom 10 sek,
207,,Avbrottshändelse till annat system inom 1 sek,Verifiera att avbrottshändelser skickas till LSP scada. Verifiera att avbrottshändelser skickas till Vision Task.
208,,Kommunikationsmetadata till annat system inom 1 sek,
209,,Responsivt användargränssnitt,Verifiera att HES gränssnittet anpassar sig efter skärmens storlek och upplösning.
210,,Dynamiska fält,Verifiera att fälten i Fälten i HES är dynamiska och anpassade för den information som kommer att visas upp för Användaren.
210,,Dynamiska fält,Verifiera att fälten i Fälten i HES är dynamiska och anpassade för den information som kommer att visas upp för Användaren.
211,,Info om användare,"Verifiera att HES har en vy där information presenteras om systemets Användare, t.ex. användar-id, namn, roll och behörighet."
212,,Formulärvyer,Verifiera att det finns formulärvyer för presentation och inmatning/modifiering av strukturdata.
213,,Formulärvyers upplägg,Verifiera att det i formulären framgår hur ingående delar i strukturen hänger samman hierarkiskt.
214,,Vy för mätvärden,Verifiera att det i HES finnas vyer där Mätvärden från en eller flera Mätenheter presenteras i tabellform.
215,,Händelser och Larm i kartvy,Verifiera att händelser och larm visas i en kartvy där det ska vara möjligt för Användaren att filtrera och söka på händelsetyp och visst tidsspann. Verifiera att det går att filtrera och söka på händelsetyper. Verifiera att det går att filtrera och söka inom valda tidsspann.
216,,Tidsintervall för mätvärden,Verifiera att det finns funktionalitet för att välja olika tidsintervaller och tidsupplösning för de Mätvärden som presenteras.
217,,Mätpunkt med fritextfält,Verifiera att det för varje Mätpunkt finns noteringsfält där Användaren kan lägga in fritext.
218,,Hjälpfunktion,Verifiera att det i HES användargränssnitt finns en hjälpfunktion som hjälper Användaren att förstå hur arbetsuppgifter utförs med hjälp av systemets funktionalitet.
219,,Ställa in antalet decimaler,Verifiera att det är möjligt att konfigurera antalet decimaler som ska visas för ett mätvärde.
220,,Registrering av mätvärde,"Verifiera att Mätvärdet som registreras och lagras i HES är oförvanskat, dvs. exakt samma värde som registrerats av Mätenheten.
Begär ett momentanväder från mätaren och jämför det som visas på mätaren med den information som kommer in till HES."
221,,Visning av mätvärde,Verifiera att samtliga Mätvärden som kan samlas in från Mätenheten kan visas i HES. Verifiera att samtliga Mätvärden som kan samlas in från Mätenheten kan visas i HES.
222,,Händelser till larmlista,"Ställ om klockan i mätaren. Trigga självdiagnos och generera en störning under själva diagnosen. Bryt strömmen på en fas. Bryt strömmen på flera faser. Koppla produktion till mätaren, och mätpunkten i HES har en prfil för enbart konsumtion. Skruva ur en spänningssäkring på mätartavlan så att en händelse genereras i mätaren. Skruva loss ""nollan"" så att en händelse genereras i mätaren. Använd supermagnet vid mätaren för att orsaka en händelse i mätaren. Sätt ett lågt gränsvärde i mätaren???. För både kat 1 och kat 2? Generera hög ström på mätare så händelse skapas. För både kat 1 och kat 2? Generera hög effekt på mätare så händelse skapas. Generera varmgång?."
223,,Rensa mätvärden och loggar,Verifiera att HES innehåller automatiska funktioner för att rensa Mätvärden och loggningar utefter uppsatta regler. Detta för att undvika att mängden av lagrad data (historiska Mätvärden och Händelseloggar) successivt växer.
224,,Filtrering och sortering i larmlista,Verifiera att en Användare har möjlighet att filtrera och sortera i larmlistan. Verifiera att en Användare har möjlighet att filtrera och sortera i larmlistan.
225,,Administrera larmvärden,"Verifiera att en Användare med rätt behörighet ska har  möjlighet att administrera larmvärden t.ex. sätta larmintervall, aktivera och inaktivera Larm. Verifiera att en Användare utan behörighet inte har  möjlighet att administrera larmvärden t.ex. sätta larmintervall, aktivera och inaktivera Larm."
226,,Kvittera larm,"Verifiera att användare i HES kan kvittera ett Larm i larmlistan med olika statustyper t.ex. godkänna, stänga och radera."
227,,Larminformation,"Verifiera att varje Larm ska innehåller information om  Händelse-ID som går att sortera och söka på. Verifiera att varje Larm ska innehåller information om  löpnummer, som går att sortera och söka på. Verifiera att varje Larm ska innehåller information om   tidsstämpel, som går att sortera och söka på. Verifiera att varje Larm ska innehåller information om  tillverkningsnummer på Mätenhet som går att sortera och söka på. Verifiera att varje Larm ska innehåller information om  Anläggnings-ID som går att sortera och söka på. Verifiera att varje Larm ska innehåller information om  anläggningsadress som går att sortera och söka på."
229,,Händelseinformation,"Verifiera att varje händelse innehåller information om  Händelse-ID som går att sortera och söka på. Verifiera att varje händelse innehåller information om  löpnummer, som går att sortera och söka på. Verifiera att varje händelse innehåller information om   tidsstämpel, som går att sortera och söka på. Verifiera att varje händelse innehåller information om  tillverkningsnummer på Mätenhet som går att sortera och söka på. Verifiera att varje händelse innehåller information om  Anläggnings-ID som går att sortera och söka på. Verifiera att varje händelse  innehåller information om  anläggningsadress som går att sortera och söka på."
231,,Sortering av händelser,Verifiera att det i HES går att sortera Händelser från Mätenheten kronologisk ordning utifrån Händelsens tidsstämpel.
232,,Översiktsbild för mätvärdesinsamling,Verifiera att finns funktionalitet i HES för att övervaka mätinsamlingen med hjälp av t.ex. en översiktsbild som visar insamlade och saknade Mätvärden vid en valbar tidpunkt.
233,,Dynamisk kartvy,Verifiera att Presentation av data i karta är dynamiskt anpassningsbart av Användaren t.ex. visning utifrån status eller geografiskt område.
234,,Följa mätinsamlingsprocessen,Verifiera att det finns funktionalitet i HES för att följa mätinsamlingsprocessen. t.ex. att de är pågående eller avslutade insamlingsjobb.
235,,Historiska insamlingsjobb,Verifiera att  det  finns funktionalitet i HES för att titta på historiska insamlingsjobb under en vald tidsperiod.
236,,Kommunikationsövervakning,Verifiera att det finns kommunikationsövervakning av Mätenheter och infrastruktur.
237,,Upptäcka mätare med kommunikationsproblem,Verifiera att det i HES är möjligt för Användaren att upptäcka och se enskilda Mätenheter som har kommunikationsproblem.
238,,Visa senaste mätvärde och tidpunkt,Verifiera att senaste Mätvärdet och tidpunkten för kommunikation med Mätenheten visas i HES. Verifiera att senaste Mätvärdet och tidpunkten för kommunikation med Mätenheten visas i HES.
239,,historik för infrastrukturens kommunikation,Verifiera att det i HES går att se minst en månads historik för infrastrukturens kommunikation för enskild Mätenhet.
240,,Självdiagnos,Verifiera att Mätenheterna innehåller en självdiagnos som detekterar olika typer av felaktigheter.
241,,Kundgränssnittet ska följa standard,"Verifiera att Kundgränssnittet i Mätenheten följer standarden beskriven i ”P1 Companion Standard, version 5.0.2, 2016-02-26” eller likvärdigt."
242,,Spec för kundgränssnittet,"Verifiera att förutom att det format, datatyp och omfattning ska (S53) vara enligt bilaga 3 Förslag på datapresentation i ”Branschrekommendation för lokalt Kundgränssnitt för elmätare"", utgivet av Energiföretagen - Swedenergy – AB version 2.0 2019-12-03."
243,,ID ska ksickas ut via kundgränssnittet,Verifiera att Mätarleverantörens ID på Mätaren (motsvarar Equipment identifier i 7.1 P1 Companion Standard) ska (S54) skickas ut via Kundgränssnittet.
244,,Aktivering och deaktivering av Kundgränssnittet ska kunna göras lokalt,Verifiera att aktivering och deaktivering av Kundgränssnittet ska (S55) kunna göras lokalt från Mätenheten av Beställaren.
245,,Kundgränssnitt är som default deaktiverat,Verifiera att vid leverans från fabrik är Mätenhetens Kundgränssnitt vara deaktiverat.
246,,Brytare kan hanteras lokalt,Verifiera att brytaren kan manövreras lokalt på Mätenheten.
247,,Kumulativt räkneverk,Verifiera att Mätenheten är försedd med ett kumulativt räkneverk och visar minst 7 heltalssiffror samt 3 decimalsiffror.
248,,Mätenhetens display - Kat1 1 fas,Verifiera att Mätenhetens display för varje fas kan visa momentanvärde för spänning. Verifiera att Mätenhetens display för varje fas kan visa momentanvärde för ström. Verifiera att Mätenhetens display för varje fas kan visa momentanvärde för effekt för uttag och inmatning av el.
249,,Mätenhetens display - Kat1 3 fas,Verifiera att Mätenhetens display för varje fas kan visa momentanvärde för spänning. Verifiera att Mätenhetens display för varje fas kan visa momentanvärde för ström. Verifiera att Mätenhetens display för varje fas kan visa momentanvärde för effekt för uttag och inmatning av el.
250,,Mätenhetens display - Kat2,Verifiera att Mätenhetens display för varje fas kan visa momentanvärde för spänning. Verifiera att Mätenhetens display för varje fas kan visa momentanvärde för ström. Verifiera att Mätenhetens display för varje fas kan visa momentanvärde för effekt för uttag och inmatning av el.
251,,Korrekt mätarställnigng,"Verifiera att Mätarställningen på Mätenheten alltid överensstämmer med sifferkapaciteten på insamlat Energivärde och displayen, även om Mätarställningen varvas."
252,,Serviceport för konfiguration,Verifiera att det finns funktionalitet för att lokalt konfigurera Mätenheten via serviceport eller motsvarande.
253,,Konfiguration från fabrik,Verifiera att Mätenheterna är komplett konfigurerade enligt Beställarens krav från fabrik.
254,,Presentation av händelser,"Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
1. Tid i mätenhetens klocka förändrats utifrån det konfigurerade tidsintervallet. Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
2. Om tiden i Mätenhetens klocka skiljer sig från tiden i HES. Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
3. Avvikelse vid självdiagnos. Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
4. Till- eller frånkoppling av kundanläggning via Mätenhetens brytare (gäller endast Kategori 1). Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
5. Till- eller frånkoppling av kundanläggning via Mätenhetens brytare med kommando från HES 
(gäller endast Kategori 1). Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
6. Misslyckad till- eller frånkoppling via Mätenhetens brytare (gäller endast Kategori 1). Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
7. Strömavbrott i en eller flera faser. Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
8. Spänning saknas på fas. Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
9. Långvarig underspänning. Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
10. Långvarig överspänning. Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
11. Kortvarig överspänning. Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
12. Kortvarig underspänning. Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
13. Obalans spänning mellan faser (gäller ej enfasmätare). Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
14. Felaktig effektriktning. Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
15. Ström utan spänning. Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
16. THD i spänning överskrider inställt gränsvärde. Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
17. THD i ström överskrider inställt gränsvärde. Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
18. Bortfall av neutralledare. Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
19. Fel fasföljd (gäller ej enfasmätare). Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
20. Magnetisk åverkan. Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
21. Öppen lucka för Kommunikationsmodul. Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
22. Öppen lucka för anslutningar  (kombinera med att det inte finns AO på mätaren för att det ska bli larm). Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
1. ”First Breath” från Mätenhet (B16). Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
2. Mjukvara mottagen (B17). Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
3. Mjukvaruverifiering – misslyckad (B18). Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
4. Mjukvaruverifiering – lyckad (B19). Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
5. Mjukvaruuppdatering – misslyckad (B20). Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
6. Mjukvaruuppdatering – lyckad (B21). Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
7. Ändring av parametrar (B22). Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
8. Kommunikationsfel (B23). Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
9. Temperatur överskrider inställt gränsvärde (B24). Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
10. Elnätets frekvens över- eller underskrider inställda gränsvärden (B25). Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
11. Effektfaktor överskrider inställt gränsvärde per fas (B26). Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
12. Vektordiagram spänning och ström per fas (B27). Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
13. Hög ström överskrider inställt gränsvärde per fas (B28). Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
14. Hög effekt överskrider inställt gränsvärde per fas (B29). Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
15. Totalt effektuttag överskrider inställt gränsvärde (B30). Verifiera i HES att följande händelse samt dess attributvärden kan visas i en händelselista: 
16. Identifierad anslutning som kan orsaka varmgång (B31)."
255,,Visning av PQ värden,Verifiera att det i HES finns möjlighet att analysera och visualisera PQ-värden i t.ex. grafer och staplar.
256,,Tidstämpel för mätvärde,Verifiera att samtliga mätvärden (PQ) tidstämplas med Aktuell tid då det inkom till HES. Verifiera att samtliga mätvärden (energi) tidstämplas med Aktuell tid då det inkom till HES.
257,,Klocka i HES,"Verifiera att HES innehåller en klocka som visar Aktuell tid i timmar, minuter och sekunder."
258,,Presentera normaltid/aktuell tid,"Verifiera att presentationer i HES på bildskärm, rapporter m.m. valbart kan visas i Normaltid eller Aktuell tid."
259,,Kalender med aktuell tid,"Verifiera att HES innehåller en kalender som visar Aktuell tid i år, månad och dag."
260,,Välja datum med kalenderfunktion,Verifiera att det där det finns behov av att välja datum i HES görs detta genom en tid- och kalenderfunktion.
261,,Normaltid för mätserier,Verifiera att det internt i HES är svensk Normaltid som gäller för alla mätserier.
262,,Tid i svenskt format,"Verifiera att HES tid visas i svenskt format (HH:MM:SS, H=timme, M=minut, S=sekund)."
263,,Kalender i svenskt format,"Verifiera att HES kalender visas i svenskt format (ÅÅÅÅ-MM-DD, Å=år, M=månad, D=dag)."
264,,Ingen påverkan av sommar/vintertid,"Verifiera att omställning mellan sommar- och vintertid inte ge konsekvenser beträffande t.ex. mätvärdeslagring, mätvärdespresentation, Händelse- och larmhantering i HES."
267,,Sökfunktion med filtrering,"Verifiera att det finns en sökfunktion för utsökning av data i HES där det går att skapa sökningar med hjälp av filtrering på en eller flera inparametrar.
T.ex. Anläggnings-ID, EAN-nummer, Mätpunkter, adresser och mätartyp."
268,,Sökbar data,"Verifiera att strukturdata kan sökas ut ur HES databas. Verifiera att mätvärden, varvid sökning ska kunna ske på valfri tidsperiod – definierar begränsning av tiden för sökt mätserie,  kan sökas ut ur HES databas. Verifiera att händelse kan sökas ut ur HES databas. Verifiera att larm kan sökas ut ur HES databas."
269,,Söka på en delmängd,Verifiera att det vid sökning går att söka på en delmängd (med hjälp av ”wildcard”) av den informationen som eftersöks.
270,,"Kopiera, klippa och klistra","Verifiera att det är möjligt för Användaren att kopiera, klippa ut och klistra in data i HES samtliga formulär och fält för inmatning."
271,,kopiera statiska fält,"Verifiera att det går att kopiera statiska fält i HES som t.ex. rubriker, status, svar på Händelser i systemet."
272,,markera flera objekt och ge kommando,Verifiera att det går att markera flera objekt (t.ex. i en larmlista) och därefter ge ett kommando (t.ex. ändra eller radera) som då utförs på alla markerade objekt.
273,,Kräv ytterligare bekräftelse,"Verifiera att kommandon, som Användaren initierar i HES och som kan få allvarliga konsekvenser vid felaktig hantering (radering av lagrad mäta- och strukturdata och från- och tillkoppling av ström) kräver ytterligare bekräftelse innan de utförs. Verifiera att kommandon som inte får alvarliga konsekvenser inte kräver ytterligare bekräftelse innan de utförs."
273,,Kräv ytterligare bekräftelse,"Verifiera att kommandon, som Användaren initierar i HES och som kan få allvarliga konsekvenser vid felaktig hantering (radering av lagrad mäta- och strukturdata och från- och tillkoppling av ström) kräver ytterligare bekräftelse innan de utförs. Verifiera att kommandon som inte får alvarliga konsekvenser inte kräver ytterligare bekräftelse innan de utförs."
274,,Massradering,Verifiera att det i HES finns en funktion för att genomföra massradering av övergripande strukturdataobjekt så att alla kopplade relationer också raderas. T.ex. att detta genomföras via grupptillhörighet.
275,,Konfigurera mätenhet från HES,Verifiera att samtliga parametrar som går att konfigurera av Beställaren i Mätenheten går att konfigureras fjärrstyrt från HES.
276,,Registrera förändringar med unikt ID,"Verifiera att HES registrerar förändringar i Mätsystemet med ett unikt ID för spårbarhet för konfigurering i Mätenhet. Verifiera att HES registrerar förändringar i Mätsystemet med ett unikt ID för spårbarhet för uppgradering av mjukvara. Verifiera att HES registrerar förändringar i Mätsystemet med ett unikt ID för spårbarhet för  till- och frånkoppling av kundanläggning via Mätenhetens brytare. Verifiera att HES registrerar förändringar i Mätsystemet med ett unikt ID för spårbarhet för ändringar av strukturdata. Verifiera att HES registrerar förändringar i Mätsystemet med ett unikt ID för spårbarhet, för vilken Användare som har aktiverat eller avaktiverat ett Larm."
277,,Behörighetprofiler för användarrättigheter,"Verifiera att HES har behörighetprofiler för följande användarrättigheter:
- Komma åt operativsystem, starta och stoppa systemet, uppdatera databas, ändra behörighetsprofiler m.m.
- Inmatning/uppdatering av strukturdata, insamling av Mätvärden m.m.
- Till- och frånkoppling av kundanläggning via Mätenhetens brytare
- Åtkomst till Mätenhetens Mätdata och inställningar
- Endast ”titta”, ej redigera."
278,,Behörighetsstruktur baserat på rollspecifikation,Verifiera att leverantören under införandet definiera och implementera en behörighetsstruktur i HES med olika roller baserat på den rollspecifikation som tagits fram av Beställaren i samråd med Leverantören under införandet.
279,,Konfigurering av Mätenheten,Verifiera att konfigurering av Mätenheten från HES  kan utföras utan att ladda ner ny Firmware.
280,,Detektera avsaknad av neutralledare,Verifiera att det från HES går att konfigurera kriterier för att detektera avsaknad av neutralledare i Mätenheten.
281,,Skapa grupper,"Verifiera att grupper kan skapas dynamiskt av Användaren i HES med hjälp av olika parametrar, t.ex. Anläggnings-ID för export av insamlat data eller uppgradering av mätarens mjukvara där grupp kan vara per postnummer eller mätarens identitet."
282,,Grupper för utförande av kommandon,"Verifiera att konfigurerade grupper kan användas för att utföra olika kommandon t.ex. förändra insamlingsintervall, exportera insamlat data etc."
283,,Spara personliga vyer,Verifiera att det i HES går att konfigurera och spara personliga vyer som visas behörighetsstyrt för respektive Användare.
284,,Administrera behörighetsnivåer,"Verifiera att beställarens kan administrera, skapa, redigera och ta bort behörighetsnivåer och roller i HES gränssnitt."
285,,Till och frånkoppling av brytare från HES,Verifiera att Tillkoppling av kundanläggning via Mätenhetens brytare kan göras från HES av en användare med ordinarie behörighet. Verifiera att Frånkoppling av kundanläggning via Mätenhetens brytare kan göras från HES av en användare med ordinarie behörighet. Verifiera att Tillkoppling av kundanläggning via Mätenhetens brytare kan göras från HES av en användare med behörighet som kundservice. Verifiera att Frånkoppling av kundanläggning via Mätenhetens brytare kan göras från HES av en användare med  behörighet som kundservice. Verifiera att Tillkoppling av kundanläggning via Mätenhetens brytare inte kan göras från HES av en användare med behörighet att bara titta. Verifiera att Frånkoppling av kundanläggning via Mätenhetens brytare inte kan göras från HES av en användare med  behörighet att bara titta.
286,,Uppdatering av Firmware - Kat1 1 fas,Verifiera att mätenheten alltid kan ta emot uppdateringar av Firmware.
287,,Uppdatering av Firmware - Kat1 3 fas,Verifiera att mätenheten alltid kan ta emot uppdateringar av Firmware.
288,,Uppdatering av Firmware - Kat2,Verifiera att mätenheten alltid kan ta emot uppdateringar av Firmware.
289,,Felhatering vid firmware uppdatering,Verifiera att mätenheten behålera och återlagrar existerande Firmware om uppdatering med ny Firmware misslyckas.
290,,Konfigurering av Mätenhet till Händelselogg,Verifiera att ändring av konfigurering i Mätenhet registreras i en Händelselogg.
291,,Läsa ut mätdata från serviceport,Verifiera att det är möjligt att läsa ut all Mätdata från Mätenhetens serviceport eller motsvarande.
292,,Uppfylla kraven i Nationella Stickprovet,"Verifiera att Kategori 1 mätare uppfyller kraven i Nationella Stickprovet, enligt Föreskrift STAFS 2009:9, för de 2 första stickprovskontrollerna, dock maximalt 12 år efter att Slutgodkännande lämnats av Beställaren."
293,,Korrigerade mätvärden,"Verifiera att mätenheten korrigerar uppmätta värden för spänning och/eller ström vid beräkning av energiförbrukning, ska dessa värden också vara de som används i Mätsystemet."
294,,Strömavbrott längre än 10 sek - Kat1 1 fas,"Verifiera att Mätsystemet registrerar alla strömavbrott (i 1-, 2- eller 3-faser) i en Mätenhet som är längre än 10 sekunder."
295,,Strömavbrott längre än 10 sek - Kat1 3 fas,"Verifiera att Mätsystemet registrerar alla strömavbrott (i 1-, 2- eller 3-faser) i en Mätenhet som är längre än 10 sekunder."
296,,Strömavbrott längre än 10 sek - Kat2,"Verifiera att Mätsystemet registrerar alla strömavbrott (i 1-, 2- eller 3-faser) i en Mätenhet som är längre än 10 sekunder."
297,,Högfrekventa störningar Kat1 3 fas,Med hjälp av RISE - Verifiera att Mätenheterna klarar krav för högfrekventa störningar i strömmen enligt svensk standard SS EN 61000-4-19 ” Mät- och provningsmetoder – Provning av immunitet mot ledningsbundna symmetriska störningar och signaler i frekvensområdet 0 Hz till 150 kHz” och IEC TR 50579 eller likvärdigt.
298,,Högfrekventa störningar Kat2,Med hjälp av RISE - Verifiera att Mätenheterna klarar krav för högfrekventa störningar i strömmen enligt svensk standard SS EN 61000-4-19 ” Mät- och provningsmetoder – Provning av immunitet mot ledningsbundna symmetriska störningar och signaler i frekvensområdet 0 Hz till 150 kHz” och IEC TR 50579 eller likvärdigt.
299,,Registrera sin egen temperatur - Kat1 1 fas,Verifiera att Mätenheten kan registrera sin egen temperatur.
300,,Registrera sin egen temperatur - Kat1 3 fas,Verifiera att Mätenheten kan registrera sin egen temperatur.
301,,Registrera sin egen temperatur - Kat2,Verifiera att Mätenheten kan registrera sin egen temperatur.
302,,Möjlig varmgång - Kat1 1 fas,Verifiera att mätenheten har möjlighet att detektera anslutningar som kan orsaka varmgång.
303,,Möjlig varmgång - Kat1 3 fas,Verifiera att mätenheten har möjlighet att detektera anslutningar som kan orsaka varmgång.
304,,Möjlig varmgång - Kat2,Verifiera att mätenheten har möjlighet att detektera anslutningar som kan orsaka varmgång.
305,,Varmgång - Kat1 1 fas,Verifiera att Mätenheten har möjlighet att detektera varmgång i anslutningar.
306,,Varmgång - Kat1 3 fas,Verifiera att Mätenheten har möjlighet att detektera varmgång i anslutningar.
307,,Varmgång - Kat2,Verifiera att Mätenheten har möjlighet att detektera varmgång i anslutningar.
308,,Mätmetod,Verifiera att det är konfigurerbart vilken mätmetod som används för mätning av in- och utmatning av energi i samtliga faser.
309,,Överförd aktiv och reaktiv energ / 5min,Verifiera att Mätenheten kan registrera mängden överförd aktiv och reaktiv energi för uttag och inmatning av el per 5 minuter.
310,,Mätning och registrering / fas,"Verifiera att Mätenheten för varje fas kan mäta och registrera min, max och medelvärde för spänning, ström, aktiv och reaktiv effekt för uttag och inmatning av el per 5 minuter."
311,,Mäta frekvensen i elnätet,Verifiera att Mätenheten kan mäta frekvensen i elnätet.
312,,Registrera First Breath,"Verifiera att Mätsystemet kan registrera och lagra information när följande Händelser inträffar:
1. ”First Breath” från Mätenhet (B17)."
313,,Registrera mjukvara mottagen,"Verifiera att Mätsystemet kan registrera och lagra information när följande Händelser inträffar:
2. Mjukvara mottagen (B18)."
314,,Registrera Mjukvaruverifiering – misslyckad,"Verifiera att Mätsystemet kan registrera och lagra information när följande Händelser inträffar:
3. Mjukvaruverifiering – misslyckad (B19)."
315,,Registrera Mjukvaruverifiering – lyckad,"Verifiera att Mätsystemet kan registrera och lagra information när följande Händelser inträffar:
4. Mjukvaruverifiering – lyckad (B20)."
316,,Registrera Mjukvaruuppdatering – misslyckad,"Verifiera att Mätsystemet kan registrera och lagra information när följande Händelser inträffar:
5. Mjukvaruuppdatering – misslyckad (B21)."
317,,Registrera Mjukvaruuppdatering – lyckad,"Verifiera att Mätsystemet kan registrera och lagra information när följande Händelser inträffar:
6. Mjukvaruuppdatering – lyckad (B22)."
318,,Registrera Ändring av parametrar,"Verifiera att Mätsystemet kan registrera och lagra information när följande Händelser inträffar:
7. Ändring av parametrar (B23)."
319,,Registrera Kommunikationsfel,"Verifiera att Mätsystemet kan registrera och lagra information när följande Händelser inträffar:
8. Kommunikationsfel (B24)."
