Nivå_1,Nivå_2,Nivå_3,GE_KravID,Rubrik,Beskrivning,Prioritet,Status,Acceptanskriterier,ID,Arkiverad
38 - Integration och Interoperabilitet,44 - Mail/Outlook,,INT-005.e,Bifoga bilagor,Initiera från Diariehändelse att sända bifogade bilagor alternativ länk till dessa i mail.,Bör,Överlämnad till förvaltning,"
	Mail kan initieras från bilaga i registerpost
	Användare kan välja mellan att skicka bilaga som bifogad fil eller länk till fil

",271,Nej
37 - Projekt och kvalitet,47 - Samarbete och transparens,,PQ-003.b,Produktionsbeslut,Beställaren ska äga rätten till slutgiltigt beslut om produktionssättning baserat på testresultat och status i leverans.,Skall,Godkänt,,249,Nej
1 - Lösningskrav,5 - LK-002 - Diarium,,LK-002.b,Filformatsstöd,"Lösningen bör stödja de vanligast förekommande MS Officefilformaten, Adobe acrobat-filer, vanligt förekommande bildformat (*.tiff) samt textfiler.",Skall,Överlämnad till förvaltning,"
	Alla filformat som stöds av lösningen ska kunna öppnas och redigeras utan att filformatet förvrängs eller förloras.
	När en fil sparas i eller exporteras från lösningen till ett av de stödda filformaten, ska filen sparas på ett sådant sätt att den kan öppnas och redigeras i andra applikationer som stöder samma filformat utan att förlora data eller formatering.
	Lösningen ska kunna hantera filer av stora storlekar utan att prestandan påverkas negativt.



Char GPT Open AI genererade AC:
Här är 3 till 5 acceptanskriterier för kravet att lösningen bör stödja de vanligast förekommande MS Office-filformaten, Adobe Acrobat-filer, vanligt förekommande bildformat (*.tiff) samt textfiler:
	Alla filformat som stöds av lösningen ska kunna öppnas och redigeras utan att filformatet förvrängs eller förloras.
	När en fil sparas eller exporteras från lösningen till ett av de stödda filformaten, ska filen sparas på ett sådant sätt att den kan öppnas och redigeras i andra applikationer som stöder samma filformat utan att förlora data eller formatering.
	Lösningen bör ha möjlighet att konvertera mellan de stödda filformaten utan att förlora data eller formatering.
	Lösningen ska kunna hantera filer av stora storlekar utan att prestandan påverkas negativt.
	Lösningen ska ge användarna möjlighet att söka efter och filtrera filer baserat på filformat.
",5,Nej
1 - Lösningskrav,5 - LK-002 - Diarium,,LK-002.d,Originalfiler,Lösningen bör stödja att filer diarieförs i originalformat.,Bör,Överlämnad till förvaltning,"
	Filer som lagts till ska finnas kvar i versionshistoriken i sitt originalformat.

",6,Nej
1 - Lösningskrav,5 - LK-002 - Diarium,,LK-002.h,Förlustfri konvertering,Konvertering ska ske utan att information går förlorad.,Skall,Överlämnad till förvaltning,"
	Formatering och information ska inte ha förändrat, förlorats eller förvanskats.



Svar från Chat GPT:
	Alla data från ursprungligt format ska bevaras efter konvertering: Ett acceptanskriterium kan vara att alla data som finns i originalformatet måste bevaras och överföras korrekt efter konvertering. Detta innebär att eventuella filer, dokument, bilder eller andra objekt som finns i det ursprungliga formatet måste bevaras och överföras korrekt efter konvertering.
	Konverterade data ska ha samma innehåll och kvalitet som originaldata: Ett annat acceptanskriterium kan vara att alla data som konverteras måste ha samma innehåll och kvalitet som originaldata. Detta innebär att alla dataelement, text, bilder, färger och annat innehåll som finns i det ursprungliga formatet ska behålla samma egenskaper efter konvertering.
	Konverteringsprocessen ska inte generera nya fel eller felaktigheter: En tredje acceptanskriterium kan vara att konverteringsprocessen inte ska generera nya fel eller felaktigheter. Detta innebär att konverteringen ska utföras på ett sätt som inte skapar nya problem, som t.ex. saknade data eller korrupta filer, som inte fanns i det ursprungliga formatet.

",10,Nej
1 - Lösningskrav,5 - LK-002 - Diarium,,LK-002.j,Roll och användarbaserad rättighetsstyrning,"Lösningen bör stödja roll och användarbaserade rättigheter för att ändra status på ett ärende så som:
- Makulerad,
- Avslutad och
- Gallrad",Bör,Överlämnad till förvaltning,"
	Ändring av status styrs av satta behörigheter för användare
	Ändras roll eller behörighet för användare så ändras även möjlighet att ändra status
",12,Nej
1 - Lösningskrav,5 - LK-002 - Diarium,,LK-002.l,Bevakningsdatum,"Lösningen bör ha en funktion för bevakningsdatum av Diarieärenden och Diraiehändelser.
Bevakningsdatum bör kunna infalla ett valbart antal dagar före sista svarsdatum.",Bör,Under testning,"
	Användare ska kunna sätta eget valbart datum
	Satt datum ska kunna uppdateras av användare
	Satt datum ska får effekt i form av notifiering eller annan typ av meddelande
",13,Nej
1 - Lösningskrav,5 - LK-002 - Diarium,,LK-002.n,Sista svarsdatum,Lösningen bör stödja funktion för att ange ett sista svarsdatum kopplat till ett Diarieärende eller diariehändelse.,Bör,Under testning,"
	Användare ska kunna sätta eget valbart datum
	Satt datum ska kunna uppdateras av användare
	Satt datum ska får effekt i form av notifiering eller annan typ av meddelande

",14,Nej
1 - Lösningskrav,5 - LK-002 - Diarium,,LK-002.o,Flytt av diariehändelser,Det bör vara möjligt att flytta diariehändelser mellan ärenden. Detta gäller även flytt av diariehändelser som flyttar mellan ärenden i skilda bolag/stiftelser inom GE-koncernen.,Bör,Överlämnad till förvaltning,"
	Det finns tydligt i användargränssnitt en funktion för att initiera en flytt av händelse.
	Processen för att flytta ska vara effektiv och när man är klar ska händelsen i sin helhet bytt plats i strukturen och fått ett nytt ärende som förälder.
	Händelser kan byta ärende mellan olika diarier
",15,Nej
1 - Lösningskrav,5 - LK-002 - Diarium,,LK-002.p,Rättigheter att flytta händelser,Lösningen bör stödja roll och användarbaserade rättigheter för att ändra hemvist på ett Diariehändelse.,Bör,Överlämnad till förvaltning,"
	Endast de roller/användare som har rätt att flytta händelser kan göra det.
	Funktionen att flytta händelser bör inte vara tillgängligt i GUI för andra användare eller roller
",16,Nej
1 - Lösningskrav,5 - LK-002 - Diarium,,LK-002.s,Automatisk filkonvertering,"Filer med vanliga filformat ska, när de läggs till i lösningen,  automatiskt konverteras till PDF som ett steg i processen av färdigställa registrering.",Skall,Överlämnad till förvaltning,"
	När händelse sätt till registrerad så ska filer konverteras till bevarandeformat.
	En ny version av händelsen har skapats och de konverterade filerna är bifogade.



",17,Nej
37 - Projekt och kvalitet,54 - Datamigrering och anonymisering,,PQ-006.a,Data att migrera,"Data att migrera från nuvarande Diarie i produktion till nya att använda under införande, kvalitetssäkring och innan produktionssättning är:
- Alla ärenden med tillhörande händelser i Diarie
- All historisk data över gamla ärenden och händelser i Diarie
- Arbetslista med samtliga pågående ärenden i väntan på kvalitetssäkring
- Alla befintliga aktiva bevakningar
- Alla befintliga aktiva sista svarsdatum
- Intakta URL:er för registerposter och filer så att gamla hänvisningar distribuerade är fortsatt effektiva
- Alla arbetsflöden
(Notera att styrande och generella dokument INTE ska migreras)",Skall,Ny,"GE kan klarlägga att:
	Rätt data migreras
	All önskad data migreras
",301,Nej
37 - Projekt och kvalitet,54 - Datamigrering och anonymisering,,PQ-006.c,Tvätt av migrerad data,"Data som ska migreras ska rensas då inte all data i dagens P360 ska finnas med i ett framtida rent Diarie i P360. Data som INTE ska finns med är:
- Styrande dokument
- Generella dokument
- Referenser mellan diarieärenden eller händelser till styrande och generella dokument",Skall,Ny,"GE kan genom test och analys av migrerad data klarlägga att:
	Inga styrande dokument finns med
	Inga generella dokument finns med
	Eventuella referenser från registerposter i Diarie till styrande eller generella dokument är borttagna
	Process för tvätt av migrerad data kan repeteras med konsistent resultat
",303,Nej
37 - Projekt och kvalitet,54 - Datamigrering och anonymisering,,PQ-006.d,Anonymisering av testdata,En process och metod för att säkert rensa och anonymisera data skall finnas att tillgå.,Skall,Ny,"GE har tillgång till en metod för anonymisering av produktionsdata som kan användas i samband med migrering av data från produktion eller produktionskopia.
Metoden kan fritt användas av GE och dess driftspartner.
Metodens källkod är tillgänglig för underhåll vid behov. (om det är ett automatiserad skript)
Metoden tar bort och ersätter alla sekretessbelagda filer.",304,Nej
1 - Lösningskrav,6 - Rollbaserade Arbetsflöden,,LK-003.c,Styra behörigheter för roller,Behörigheter att utföra steg i arbetsflödet skall gå att koppla till roller,Skall,Under testning,"
	Avsluta ärenden och sätta händelser till färdig ska endast kunna göras av tilldelad roll (Registrator)
	Flytta händelser ska endast kunna göras av tilldelad roll.
",21,Nej
1 - Lösningskrav,6 - Rollbaserade Arbetsflöden,,LK-003.e,Multipla roller per användare,Lösningen bör erbjuda möjlighet till att enskilda användare kan ha flera roller och att det går att välja vilken roll som är den aktiva.,Bör,Överlämnad till förvaltning,"
	Användare ska direkt i aktiv session kunna växla mellan roller
	Byte av roll i en och samma session ska direkt få effekt på vilka funktioner och aktiviteter användaren har tillgång till.
",22,Nej
1 - Lösningskrav,7 - Applikationsadmin och konfigurering,,LK-004.g,Administration av flervalslistor,Det ska vara möjligt att uppdatera valbara listor med fler/färre urval.,Bör,Under testning,"
	Befintliga listor ska kunna utökas, minskas eller ändras i innehåll
	Ändringar ska få direkt effekt i lösningens användargränssnitt. Kan behövas en uppdatering av session.
",28,Nej
1 - Lösningskrav,8 - Notifieringar och påminnelser.,,LK-005.c,Notifieringar vid inaktivitet,Lösningen bör stödja tidssatta notifieringar för ärenden och dokument som legat orörda eller öppna under lång tid,Bör,Under testning,"
	Användare kan ställa in på ärende eller flera ärenden att om de varit orörda (ej uppdaterade) under en viss tid så ska en notifiering ske.
	Tidsperiod skall kunna sättas individuellt per ärende
	Om ingen individuell tid sätts så ska en global tidsperiod gälla
	Notifiering sker när inställd tid uppnås.

",32,Nej
1 - Lösningskrav,8 - Notifieringar och påminnelser.,,LK-005.g,Notifieringstrigger,Notifiering ska gå ut till ansvarig och medhandläggare när ett nytt Diarieärende skapas eller tilldelas ny handläggare.,Skall,Under testning,"
	Notifiering triggas
	Notifiering adresseras avsedda roller
",35,Nej
1 - Lösningskrav,8 - Notifieringar och påminnelser.,,LK-005.h,Notifieringstrigger,Notifiering ska gå ut till ansvarig för ärendet när någon annan skapar en ny Diariehändelse.,Skall,Under testning,"
	Notifiering triggas
	Notifiering adresseras ansvarig handläggare

",36,Nej
1 - Lösningskrav,8 - Notifieringar och påminnelser.,,LK-005.j,Ärendelänk i notifieringsmeddelande,Lösningen bör stödja att länk till gällande ärende infogas i notifieringsmeddelande.,Bör,Under testning,"
	Länk bifogas
	Länk är funktionell
",37,Nej
1 - Lösningskrav,9 - Sekretess,,LK-006.c,Maskning av klassad information i presentation,"Lösningen skall stödja uppmärkning av sekretessklassade Diareärenden och Diariehändelser så att specifik information som titel och/eller avsändare/mottagare, inte visas vid presentation.",Skall (Tvingande),Under testning,"
	När sekretessmarkering sätts i ärende eller händelse så ska användare få möjlighet att dölja viss information och att skriva in alternativ information som ska presenteras
	När ärendet presenteras ska alltid den alternativa informationen presenteras
	Originalinformation ska endast visas baserat på användarens rättigheter
",40,Nej
1 - Lösningskrav,9 - Sekretess,,LK-006.e,Sekretesstid,Lösningen bör stödja möjlighet att ange sekretesstid som metadata på Diariehändelse.,Bör,Överlämnad till förvaltning,"
	Sekretessmarkering ska inte påverkas om sekretesstid har infallit eller ej
	Sekretesstid kopplat till enskilda paragrafer ska kunna ställas in
	Ärende eller händelse som lyder under specifik sekretessparagraf ska automatisk tilldelas den sekretesstiden baserat på ärendets registreringstid.
",41,Nej
1 - Lösningskrav,9 - Sekretess,,LK-006.f,Upphäva/ändra sekretess,Lösningen skall stödja möjlighet att upphäva/ändra den huvudsakliga sekretessmarkeringen för ett Diarieärende eller Diariehändelse.,Skall,Överlämnad till förvaltning,"
	Användare med behörighet till ärende eller händelse ska kunna ändra och upphäva sekretess
	Ärvda sekretessmarkeringar på händelse ska kunna avmarkeras och uppdateras att ha en oberoende sekretessnivå från andra händelser och ärende det tillhör.
	Ändrad sekretessnivå ska ha effekt på tillgänglighet av avsändare/mottager/titel samt filer i ärendet som påverkas av sekretess

",42,Nej
1 - Lösningskrav,9 - Sekretess,,LK-006.g,Organisatorisk penetretion av sekretessinformation,"Lösningen skall stödja att den ansvarige, dess överordnade chefer i organisationen, registrator samt medansvarig handläggare ska kunna se dess sekretessbelagda Diarieärenden och Diariehändelser med tillhörande filer.",Skall,Under testning,"
	Mottagare/Avsändare/titel och filer som berörs av sekretess kan ses av avsedda roller/personer och endast dessa
	Flytt av ärende mellan handläggare eller mellan organisationer skall även ha effekt på vilka överordnade som kan se den sekretessbelagda informationen och filerna.
",43,Nej
